lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
364.7547	782.0	88.3125	201.75	1.0	50000.0	1380
238.67088	683.0	101.0	146.125	1.0	50000.0	1380
408.79855	769.5	94.5625	173.5	1.0	50000.0	1380
347.8994	705.0	82.875	129.75	1.0	50000.0	1380
252.89465	537.5	76.4375	186.375	1.0	50000.0	1380
127.48433	743.0	181.75	262.5	1.0	50000.0	1380
310.255	690.0	178.75	198.25	1.0	50000.0	1380
354.5553	906.0	104.25	195.375	1.0	50000.0	1380
166.42696	688.0	113.6875	195.5	1.0	50000.0	1380
199.16347	730.5	122.5	113.875	1.0	50000.0	1380
113.43702	675.5	89.5625	180.625	1.0	50000.0	1380
327.5002	681.0	105.0625	185.375	1.0	50000.0	1380
342.10867	703.0	94.8125	200.0	1.0	50000.0	1380
235.26097	916.0	87.75	185.0	1.0	50000.0	1380
236.84506	617.5	88.8125	157.375	1.0	50000.0	1380
292.304	1064.0	78.3125	8.09375	1.0	50000.0	1380
439.7654	660.5	117.4375	116.625	1.0	50000.0	1380
261.84906	859.5	59.75	152.875	1.0	50000.0	1380
244.60483	953.5	77.8125	178.625	1.0	50000.0	1380
206.62584	911.0	95.0625	156.75	1.0	50000.0	1380
239.36905	716.0	124.5625	54.1875	1.0	50000.0	1380
316.63626	466.75	59.59375	182.75	1.0	50000.0	1380
422.8709	857.0	42.84375	25.640625	1.0	50000.0	1380
213.57307	896.5	134.25	326.5	1.0	50000.0	1380
193.3126	835.5	75.375	95.5625	1.0	50000.0	1380
586.15234	936.0	84.75	7.3945312	1.0	50000.0	1380
203.623	937.5	78.9375	179.75	1.0	50000.0	1380
377.32617	490.75	269.0	116.5	1.0	50000.0	1380
406.44238	614.5	69.125	172.25	1.0	50000.0	1380
84.21811	740.0	65.75	220.0	1.0	50000.0	1380
190.66626	773.5	143.75	238.625	1.0	50000.0	1380
201.95053	635.5	148.625	229.0	1.0	50000.0	1380
252.08363	628.0	100.9375	179.625	1.0	50000.0	1380
208.7444	819.5	149.625	189.0	1.0	50000.0	1380
240.56456	861.5	63.96875	100.6875	1.0	50000.0	1380
277.1934	732.0	105.9375	168.75	1.0	50000.0	1380
285.18973	834.0	73.0625	68.4375	1.0	50000.0	1380
284.81174	790.0	64.25	188.625	1.0	50000.0	1380
410.35092	527.5	164.875	242.25	1.0	50000.0	1380
549.9788	658.5	137.625	185.875	1.0	50000.0	1380
277.7182	902.5	151.875	202.75	1.0	50000.0	1380
242.4807	600.0	92.875	199.125	1.0	50000.0	1380
372.36066	626.0	148.5	244.125	1.0	50000.0	1380
387.58246	572.5	77.0625	7.6171875	1.0	50000.0	1380
291.6618	661.0	81.125	138.5	1.0	50000.0	1380
339.00864	917.5	115.625	253.375	1.0	50000.0	1380
250.9049	414.25	147.25	180.0	1.0	50000.0	1380
169.85919	442.0	86.875	135.0	1.0	50000.0	1380
216.36926	918.0	78.0625	168.625	1.0	50000.0	1380
226.48177	863.0	77.5	110.0625	1.0	50000.0	1380
138.52411	791.0	113.125	70.6875	1.0	50000.0	1380
272.1212	751.0	85.375	36.65625	1.0	50000.0	1380
301.0953	730.5	327.25	170.875	1.0	50000.0	1380
225.45273	697.5	121.1875	192.25	1.0	50000.0	1380
