lep_pt	AK4_pt	genWeights	sumWeight	N_exp
194.05965	70.0	-0.49554962	209628.39	35563
146.87761	92.5625	-0.49554962	209628.39	35563
129.43004	64.5625	-0.49554962	209628.39	35563
216.30328	92.75	0.49554962	209628.39	35563
306.6458	69.375	0.49554962	209628.39	35563
202.00342	113.375	0.49554962	209628.39	35563
63.646515	60.3125	0.49554962	209628.39	35563
111.54604	119.1875	0.49554962	209628.39	35563
96.12557	61.21875	-0.49554962	209628.39	35563
138.57684	143.5	-0.49554962	209628.39	35563
132.70486	92.8125	0.49554962	209628.39	35563
197.71613	98.25	0.49554962	209628.39	35563
98.30583	64.4375	0.49554962	209628.39	35563
50.62259	50.6875	0.49554962	209628.39	35563
114.63361	54.40625	0.49554962	209628.39	35563
130.04114	112.5625	0.49554962	209628.39	35563
118.81538	77.6875	0.49554962	209628.39	35563
161.65259	40.78125	-0.49554962	209628.39	35563
156.64217	85.6875	0.49554962	209628.39	35563
103.74502	32.90625	-0.49554962	209628.39	35563
111.330315	85.5	0.49554962	209628.39	35563
201.68132	131.75	0.49554962	209628.39	35563
117.769875	90.5	0.49554962	209628.39	35563
179.24518	96.875	0.49554962	209628.39	35563
166.25322	74.1875	0.49554962	209628.39	35563
102.77273	73.0	-0.49554962	209628.39	35563
121.247894	49.5	-0.49554962	209628.39	35563
217.55545	60.5625	0.49554962	209628.39	35563
31.305681	111.8125	0.49554962	209628.39	35563
191.04474	116.25	0.49554962	209628.39	35563
252.80405	44.4375	0.49554962	209628.39	35563
178.89653	117.3125	0.49554962	209628.39	35563
105.05165	107.375	-0.49554962	209628.39	35563
168.98744	87.625	0.49554962	209628.39	35563
141.8355	69.5625	-0.49554962	209628.39	35563
395.77695	174.875	-0.49554962	209628.39	35563
115.13692	53.71875	0.49554962	209628.39	35563
238.49387	47.65625	0.49554962	209628.39	35563
177.68018	114.6875	-0.49554962	209628.39	35563
193.69728	141.375	-0.49554962	209628.39	35563
178.36311	139.375	0.49554962	209628.39	35563
123.89346	66.125	-0.49554962	209628.39	35563
198.60046	50.9375	0.49554962	209628.39	35563
228.92429	81.8125	-0.49554962	209628.39	35563
239.00218	76.3125	0.49554962	209628.39	35563
84.004425	97.8125	0.49554962	209628.39	35563
115.98392	87.625	0.49554962	209628.39	35563
79.24933	112.0	0.49554962	209628.39	35563
75.92684	75.375	-0.49554962	209628.39	35563
84.45968	102.4375	0.49554962	209628.39	35563
77.504715	154.375	0.49554962	209628.39	35563
99.42728	155.125	0.49554962	209628.39	35563
134.1799	56.8125	0.49554962	209628.39	35563
121.87768	68.8125	0.49554962	209628.39	35563
79.03921	90.375	-0.49554962	209628.39	35563
51.69172	87.1875	0.49554962	209628.39	35563
101.49499	132.75	0.49554962	209628.39	35563
149.51244	76.6875	0.49554962	209628.39	35563
73.73297	111.3125	0.49554962	209628.39	35563
153.88336	124.25	0.49554962	209628.39	35563
227.67691	120.25	-0.49554962	209628.39	35563
87.55164	97.5	0.49554962	209628.39	35563
170.73578	69.375	0.49554962	209628.39	35563
59.17404	54.0625	-0.49554962	209628.39	35563
317.49628	71.625	-0.49554962	209628.39	35563
222.0931	92.3125	0.49554962	209628.39	35563
187.23987	126.125	-0.49554962	209628.39	35563
151.60452	65.9375	0.49554962	209628.39	35563
66.16635	127.75	0.49554962	209628.39	35563
182.95203	77.8125	0.49554962	209628.39	35563
57.576588	88.8125	0.49554962	209628.39	35563
62.195553	98.0625	0.49554962	209628.39	35563
51.00657	67.875	0.49554962	209628.39	35563
142.58748	83.75	0.49554962	209628.39	35563
88.46125	89.625	0.49554962	209628.39	35563
66.0673	78.875	0.49554962	209628.39	35563
156.67378	87.0625	0.49554962	209628.39	35563
101.88742	82.1875	0.49554962	209628.39	35563
188.35252	81.3125	0.49554962	209628.39	35563
80.40932	122.6875	0.49554962	209628.39	35563
81.36247	126.1875	0.49554962	209628.39	35563
89.03619	62.03125	0.49554962	209628.39	35563
175.03183	79.9375	0.49554962	209628.39	35563
250.48132	123.625	0.49554962	209628.39	35563
69.04739	78.375	0.49554962	209628.39	35563
164.76138	80.5	0.49554962	209628.39	35563
109.62625	109.3125	0.49554962	209628.39	35563
291.72134	72.75	-0.49554962	209628.39	35563
137.1737	140.625	-0.49554962	209628.39	35563
52.061745	69.0	0.49554962	209628.39	35563
126.86896	100.375	0.49554962	209628.39	35563
93.36954	121.6875	0.49554962	209628.39	35563
111.48098	94.9375	-0.49554962	209628.39	35563
223.43964	142.5	0.49554962	209628.39	35563
59.291924	106.3125	0.49554962	209628.39	35563
49.543602	67.9375	0.49554962	209628.39	35563
123.15845	107.625	0.49554962	209628.39	35563
69.02649	71.8125	-0.49554962	209628.39	35563
74.84622	125.8125	0.49554962	209628.39	35563
75.94025	63.15625	0.49554962	209628.39	35563
198.47835	60.03125	-0.49554962	209628.39	35563
80.08559	65.4375	0.49554962	209628.39	35563
121.86811	84.3125	0.49554962	209628.39	35563
133.12994	138.25	0.49554962	209628.39	35563
133.59312	103.375	0.49554962	209628.39	35563
193.78087	126.875	0.49554962	209628.39	35563
61.935513	73.0625	0.49554962	209628.39	35563
97.141266	68.0	0.49554962	209628.39	35563
87.26378	82.8125	0.49554962	209628.39	35563
187.65845	142.625	0.49554962	209628.39	35563
187.701	169.125	0.49554962	209628.39	35563
143.82996	84.6875	0.49554962	209628.39	35563
204.2083	66.75	0.49554962	209628.39	35563
225.29996	120.9375	0.49554962	209628.39	35563
178.40738	127.0	0.49554962	209628.39	35563
132.4188	84.25	0.49554962	209628.39	35563
176.4002	51.625	0.49554962	209628.39	35563
86.736176	111.125	0.49554962	209628.39	35563
298.72864	61.4375	0.49554962	209628.39	35563
241.27777	161.75	0.49554962	209628.39	35563
134.99777	82.1875	-0.49554962	209628.39	35563
247.73077	155.625	0.49554962	209628.39	35563
121.77214	63.0	-0.49554962	209628.39	35563
191.38962	84.3125	-0.49554962	209628.39	35563
216.59085	87.5625	0.49554962	209628.39	35563
258.79797	174.125	0.49554962	209628.39	35563
55.19342	48.53125	0.49554962	209628.39	35563
183.2866	124.4375	0.49554962	209628.39	35563
45.018333	57.15625	0.49554962	209628.39	35563
173.35551	95.625	0.49554962	209628.39	35563
401.77106	68.625	0.49554962	209628.39	35563
97.764015	135.75	0.49554962	209628.39	35563
193.85916	139.875	0.49554962	209628.39	35563
218.1072	68.1875	0.49554962	209628.39	35563
420.2929	81.8125	0.49554962	209628.39	35563
268.83594	71.4375	-0.49554962	209628.39	35563
136.88596	89.8125	0.49554962	209628.39	35563
165.24521	55.96875	0.49554962	209628.39	35563
91.746315	68.9375	0.49554962	209628.39	35563
107.07397	43.625	0.49554962	209628.39	35563
247.01952	65.625	0.49554962	209628.39	35563
309.64664	76.125	0.49554962	209628.39	35563
143.5135	99.0	0.49554962	209628.39	35563
174.40648	61.625	-0.49554962	209628.39	35563
145.94258	73.125	0.49554962	209628.39	35563
154.0021	46.3125	0.49554962	209628.39	35563
138.6191	46.09375	-0.49554962	209628.39	35563
98.70429	60.9375	0.49554962	209628.39	35563
91.32477	76.375	0.49554962	209628.39	35563
73.4321	50.84375	0.49554962	209628.39	35563
156.8502	102.125	0.49554962	209628.39	35563
273.52905	44.15625	0.49554962	209628.39	35563
48.122154	123.1875	0.49554962	209628.39	35563
88.65153	109.875	-0.49554962	209628.39	35563
120.73079	56.71875	0.49554962	209628.39	35563
244.53235	56.875	-0.49554962	209628.39	35563
122.101425	104.0625	0.49554962	209628.39	35563
66.86212	69.8125	0.49554962	209628.39	35563
156.82976	80.0625	0.49554962	209628.39	35563
594.474	48.375	0.49554962	209628.39	35563
59.92931	56.34375	0.49554962	209628.39	35563
88.97733	85.6875	-0.49554962	209628.39	35563
162.08334	84.0625	0.49554962	209628.39	35563
127.4002	140.25	0.49554962	209628.39	35563
89.771866	107.5625	-0.49554962	209628.39	35563
402.79672	151.375	0.49554962	209628.39	35563
47.49305	71.25	0.49554962	209628.39	35563
61.981323	82.0625	0.49554962	209628.39	35563
126.42126	138.0	0.49554962	209628.39	35563
105.0079	65.25	0.49554962	209628.39	35563
198.94614	80.5625	0.49554962	209628.39	35563
89.74836	126.3125	0.49554962	209628.39	35563
79.46334	45.3125	0.49554962	209628.39	35563
128.56107	138.25	0.49554962	209628.39	35563
234.68135	73.875	0.49554962	209628.39	35563
199.41867	184.5	-0.49554962	209628.39	35563
237.74086	101.9375	0.49554962	209628.39	35563
75.32523	109.125	0.49554962	209628.39	35563
174.74495	87.4375	0.49554962	209628.39	35563
54.31414	73.3125	-0.49554962	209628.39	35563
116.974075	95.3125	0.49554962	209628.39	35563
129.46107	99.5625	0.49554962	209628.39	35563
132.50783	75.5	0.49554962	209628.39	35563
123.43044	72.3125	0.49554962	209628.39	35563
85.78397	151.0	-0.49554962	209628.39	35563
94.86489	117.9375	-0.49554962	209628.39	35563
271.48572	127.1875	0.49554962	209628.39	35563
149.71301	56.375	0.49554962	209628.39	35563
28.317984	58.65625	0.49554962	209628.39	35563
114.10954	88.25	0.49554962	209628.39	35563
181.24968	122.8125	0.49554962	209628.39	35563
180.43106	91.625	-0.49554962	209628.39	35563
71.262276	70.75	0.49554962	209628.39	35563
222.09164	63.21875	0.49554962	209628.39	35563
168.15797	83.25	0.49554962	209628.39	35563
92.99111	84.25	0.49554962	209628.39	35563
74.70695	112.75	0.49554962	209628.39	35563
49.196224	106.875	0.49554962	209628.39	35563
162.6013	77.3125	0.49554962	209628.39	35563
160.63686	63.9375	0.49554962	209628.39	35563
239.23337	107.375	0.49554962	209628.39	35563
166.1011	83.5	-0.49554962	209628.39	35563
274.14713	133.0	-0.49554962	209628.39	35563
61.828724	151.5	0.49554962	209628.39	35563
121.79606	38.25	0.49554962	209628.39	35563
82.201996	46.3125	-0.49554962	209628.39	35563
521.2366	91.9375	0.49554962	209628.39	35563
297.72363	91.9375	-0.49554962	209628.39	35563
85.06662	77.1875	-0.49554962	209628.39	35563
65.4094	155.125	0.49554962	209628.39	35563
61.86255	120.4375	-0.49554962	209628.39	35563
56.941154	89.125	0.49554962	209628.39	35563
168.9528	103.5	0.49554962	209628.39	35563
137.04344	99.75	0.49554962	209628.39	35563
124.86532	100.4375	0.49554962	209628.39	35563
121.00102	70.5	0.49554962	209628.39	35563
112.06354	74.375	-0.49554962	209628.39	35563
118.11697	90.625	0.49554962	209628.39	35563
67.547264	65.0625	0.49554962	209628.39	35563
100.61317	112.25	-0.49554962	209628.39	35563
155.32822	81.0	-0.49554962	209628.39	35563
143.94606	64.6875	-0.49554962	209628.39	35563
249.28415	96.6875	0.49554962	209628.39	35563
72.41292	58.84375	0.49554962	209628.39	35563
108.61159	95.75	0.49554962	209628.39	35563
182.00735	110.5625	0.49554962	209628.39	35563
155.7638	95.9375	0.49554962	209628.39	35563
67.445076	40.40625	-0.49554962	209628.39	35563
129.39641	175.875	0.49554962	209628.39	35563
66.21203	31.625	-0.49554962	209628.39	35563
156.63383	74.625	0.49554962	209628.39	35563
116.89112	102.375	0.49554962	209628.39	35563
172.96379	56.0625	0.49554962	209628.39	35563
134.942	62.21875	0.49554962	209628.39	35563
90.41365	136.5	0.49554962	209628.39	35563
118.51855	124.9375	0.49554962	209628.39	35563
161.2602	82.875	-0.49554962	209628.39	35563
78.57328	83.5	0.49554962	209628.39	35563
45.716125	86.8125	0.49554962	209628.39	35563
64.103775	134.125	0.49554962	209628.39	35563
141.74562	76.1875	-0.49554962	209628.39	35563
126.630775	80.5625	0.49554962	209628.39	35563
159.32903	71.625	-0.49554962	209628.39	35563
145.27547	114.1875	0.49554962	209628.39	35563
304.66922	82.0625	0.49554962	209628.39	35563
125.17646	136.625	-0.49554962	209628.39	35563
51.876736	67.9375	0.49554962	209628.39	35563
82.170135	64.625	-0.49554962	209628.39	35563
124.28019	103.6875	0.49554962	209628.39	35563
136.42657	58.53125	0.49554962	209628.39	35563
305.90088	148.5	0.49554962	209628.39	35563
122.35987	89.3125	0.49554962	209628.39	35563
150.3461	97.0	0.49554962	209628.39	35563
168.75662	100.375	0.49554962	209628.39	35563
201.5314	41.75	0.49554962	209628.39	35563
136.34723	33.34375	0.49554962	209628.39	35563
87.11066	92.1875	0.49554962	209628.39	35563
155.27919	138.75	0.49554962	209628.39	35563
71.40945	92.3125	-0.49554962	209628.39	35563
347.99078	61.625	-0.49554962	209628.39	35563
162.00963	145.125	0.49554962	209628.39	35563
81.652695	46.8125	0.49554962	209628.39	35563
171.07607	80.875	0.49554962	209628.39	35563
156.96101	139.0	0.49554962	209628.39	35563
79.81432	32.9375	0.49554962	209628.39	35563
283.7744	56.28125	-0.49554962	209628.39	35563
53.34385	117.0625	0.49554962	209628.39	35563
96.62871	73.5	-0.49554962	209628.39	35563
90.43065	70.625	-0.49554962	209628.39	35563
137.07234	55.96875	0.49554962	209628.39	35563
248.59029	138.875	0.49554962	209628.39	35563
51.879963	135.0	0.49554962	209628.39	35563
82.96938	69.875	0.49554962	209628.39	35563
337.12128	75.3125	0.49554962	209628.39	35563
139.7665	55.1875	-0.49554962	209628.39	35563
211.71701	165.375	-0.49554962	209628.39	35563
160.96971	63.96875	0.49554962	209628.39	35563
61.401386	59.75	-0.49554962	209628.39	35563
112.515755	181.0	0.49554962	209628.39	35563
348.5942	109.875	-0.49554962	209628.39	35563
481.25677	35.9375	0.49554962	209628.39	35563
41.90761	110.625	0.49554962	209628.39	35563
167.11333	111.6875	0.49554962	209628.39	35563
92.295074	71.875	-0.49554962	209628.39	35563
64.21585	154.875	-0.49554962	209628.39	35563
97.28337	176.25	0.49554962	209628.39	35563
136.12073	58.9375	-0.49554962	209628.39	35563
96.19416	44.0	-0.49554962	209628.39	35563
129.65607	155.25	-0.49554962	209628.39	35563
258.82874	60.34375	0.49554962	209628.39	35563
144.40646	73.6875	0.49554962	209628.39	35563
266.13638	118.6875	0.49554962	209628.39	35563
108.58649	95.1875	0.49554962	209628.39	35563
134.86198	54.28125	-0.49554962	209628.39	35563
175.98898	39.75	0.49554962	209628.39	35563
174.1959	56.875	-0.49554962	209628.39	35563
74.33071	51.5625	0.49554962	209628.39	35563
313.50876	137.125	0.49554962	209628.39	35563
180.76357	60.125	0.49554962	209628.39	35563
138.61427	80.4375	-0.49554962	209628.39	35563
143.56686	77.6875	0.49554962	209628.39	35563
146.31558	152.75	0.49554962	209628.39	35563
170.1528	76.625	-0.49554962	209628.39	35563
148.88945	90.3125	0.49554962	209628.39	35563
218.34386	80.625	0.49554962	209628.39	35563
74.01762	123.6875	0.49554962	209628.39	35563
168.9695	112.25	0.49554962	209628.39	35563
68.796135	76.875	0.49554962	209628.39	35563
66.2296	131.875	0.49554962	209628.39	35563
53.33606	107.5	0.49554962	209628.39	35563
80.44678	101.25	0.49554962	209628.39	35563
103.17501	67.6875	0.49554962	209628.39	35563
81.34431	99.9375	0.49554962	209628.39	35563
131.4009	119.0	0.49554962	209628.39	35563
243.89137	46.25	0.49554962	209628.39	35563
231.2126	109.4375	0.49554962	209628.39	35563
126.45044	29.5625	0.49554962	209628.39	35563
68.91012	38.0625	0.49554962	209628.39	35563
156.51337	38.90625	0.49554962	209628.39	35563
176.42348	55.4375	-0.49554962	209628.39	35563
112.19827	125.4375	0.49554962	209628.39	35563
146.51778	83.8125	-0.49554962	209628.39	35563
122.63179	100.3125	0.49554962	209628.39	35563
70.468414	122.5	0.49554962	209628.39	35563
54.047283	93.125	0.49554962	209628.39	35563
188.581	134.625	0.49554962	209628.39	35563
307.50522	64.375	0.49554962	209628.39	35563
139.22096	72.8125	-0.49554962	209628.39	35563
71.91458	57.28125	0.49554962	209628.39	35563
130.30553	48.71875	0.49554962	209628.39	35563
343.71033	132.375	-0.49554962	209628.39	35563
282.60376	53.5	0.49554962	209628.39	35563
138.56396	132.5	0.49554962	209628.39	35563
206.17285	102.5625	-0.49554962	209628.39	35563
159.16537	55.5625	0.49554962	209628.39	35563
35.66712	68.75	-0.49554962	209628.39	35563
90.65869	52.28125	0.49554962	209628.39	35563
132.40486	50.09375	-0.49554962	209628.39	35563
80.152985	83.3125	0.49554962	209628.39	35563
57.1111	53.09375	0.49554962	209628.39	35563
89.27318	41.6875	0.49554962	209628.39	35563
160.56223	80.75	0.49554962	209628.39	35563
171.69965	114.1875	0.49554962	209628.39	35563
42.20928	103.125	0.49554962	209628.39	35563
32.008423	58.875	0.49554962	209628.39	35563
183.57346	109.875	-0.49554962	209628.39	35563
154.3631	84.5625	0.49554962	209628.39	35563
86.66746	93.3125	0.49554962	209628.39	35563
361.5346	153.75	0.49554962	209628.39	35563
161.57135	118.1875	0.49554962	209628.39	35563
454.15903	54.6875	0.49554962	209628.39	35563
54.042034	126.5	0.49554962	209628.39	35563
257.3825	142.875	0.49554962	209628.39	35563
113.3018	145.125	0.49554962	209628.39	35563
229.7575	109.5	-0.49554962	209628.39	35563
100.72139	146.875	0.49554962	209628.39	35563
67.69326	114.5	0.49554962	209628.39	35563
106.26089	41.9375	-0.49554962	209628.39	35563
55.52209	45.21875	-0.49554962	209628.39	35563
137.77641	111.75	-0.49554962	209628.39	35563
68.36902	141.875	0.49554962	209628.39	35563
144.65048	72.3125	0.49554962	209628.39	35563
40.836945	127.125	-0.49554962	209628.39	35563
114.37718	102.5625	0.49554962	209628.39	35563
59.743427	80.3125	0.49554962	209628.39	35563
201.73862	58.625	0.49554962	209628.39	35563
170.20168	44.90625	0.49554962	209628.39	35563
200.12343	114.0	0.49554962	209628.39	35563
148.31114	50.625	0.49554962	209628.39	35563
80.594406	114.75	0.49554962	209628.39	35563
41.058933	126.875	0.49554962	209628.39	35563
52.43923	151.125	0.49554962	209628.39	35563
92.29697	34.28125	-0.49554962	209628.39	35563
327.10852	135.5	-0.49554962	209628.39	35563
125.714165	127.0625	0.49554962	209628.39	35563
143.77441	67.25	0.49554962	209628.39	35563
114.622154	84.625	0.49554962	209628.39	35563
63.825817	75.0625	0.49554962	209628.39	35563
189.2535	65.75	-0.49554962	209628.39	35563
71.94741	67.6875	0.49554962	209628.39	35563
167.98972	127.6875	0.49554962	209628.39	35563
152.45619	59.71875	-0.49554962	209628.39	35563
99.94636	113.875	0.49554962	209628.39	35563
84.22266	72.5	0.49554962	209628.39	35563
218.7697	66.1875	0.49554962	209628.39	35563
79.18336	81.6875	0.49554962	209628.39	35563
206.49002	96.0	0.49554962	209628.39	35563
167.98425	68.875	-0.49554962	209628.39	35563
59.085075	100.5625	-0.49554962	209628.39	35563
105.02871	129.5	-0.49554962	209628.39	35563
186.73611	89.3125	0.49554962	209628.39	35563
59.471172	119.9375	0.49554962	209628.39	35563
246.41608	70.5	0.49554962	209628.39	35563
161.45406	109.5625	-0.49554962	209628.39	35563
277.8148	69.75	0.49554962	209628.39	35563
114.72784	81.5625	0.49554962	209628.39	35563
