lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
95.28934	310.5	127.75	138.0	-8.513033	8732317.0	1213296
177.1544	259.5	100.875	3.5097656	8.513033	8732317.0	1213296
235.25346	363.5	115.375	160.25	8.513033	8732317.0	1213296
295.58713	442.75	125.375	134.75	8.513033	8732317.0	1213296
244.1806	388.5	93.1875	130.75	8.513033	8732317.0	1213296
133.58463	544.5	99.3125	127.5	-8.513033	8732317.0	1213296
173.3331	269.5	85.0	104.125	-8.513033	8732317.0	1213296
409.6751	514.0	88.6875	181.875	8.513033	8732317.0	1213296
354.76862	415.0	148.375	185.625	8.513033	8732317.0	1213296
258.49933	273.75	93.5625	115.875	8.513033	8732317.0	1213296
89.84645	701.0	73.1875	82.75	8.513033	8732317.0	1213296
386.18692	384.75	120.3125	156.25	8.513033	8732317.0	1213296
158.63467	257.0	84.25	117.5	-8.513033	8732317.0	1213296
