lep_pt	AK8_pt	AK4_pt	GenT_pt	M_sd	genWeights	sumWeight	N_exp
142.56981	378.25	57.78125	342.0	146.5	-0.49554962	289558.6	35563
116.14909	356.0	102.1875	395.0	143.625	-0.49554962	289558.6	35563
145.93231	317.25	70.625	262.0	119.0625	0.49554962	289558.6	35563
542.20825	566.0	154.75	548.0	89.5625	-0.49554962	289558.6	35563
182.8563	780.5	74.0625	728.0	188.625	0.49554962	289558.6	35563
158.66434	476.5	146.75	457.0	180.25	0.49554962	289558.6	35563
96.78002	286.75	74.75	268.0	108.6875	0.49554962	289558.6	35563
128.56763	387.75	81.375	381.0	64.875	-0.49554962	289558.6	35563
175.87737	521.0	102.8125	620.0	178.25	-0.49554962	289558.6	35563
67.16126	365.75	155.625	371.0	132.5	0.49554962	289558.6	35563
226.96056	216.125	94.875	242.0	98.625	0.49554962	289558.6	35563
94.023346	498.75	88.625	441.0	175.0	0.49554962	289558.6	35563
139.91626	304.75	63.0625	105.75	94.5	-0.49554962	289558.6	35563
64.65397	670.0	90.4375	660.0	243.375	0.49554962	289558.6	35563
102.08206	322.75	119.5625	268.0	120.75	0.49554962	289558.6	35563
99.05323	241.0	120.875	212.5	122.1875	-0.49554962	289558.6	35563
279.60092	204.75	99.625	127.75	110.1875	-0.49554962	289558.6	35563
78.20013	386.0	114.0625	373.0	146.875	-0.49554962	289558.6	35563
90.09903	416.5	58.15625	406.0	123.0625	-0.49554962	289558.6	35563
97.57879	481.5	130.5	486.0	142.125	-0.49554962	289558.6	35563
69.078964	340.25	87.375	328.0	120.0	0.49554962	289558.6	35563
97.79545	451.25	54.59375	421.0	142.625	0.49554962	289558.6	35563
156.12337	439.0	82.25	446.0	175.125	0.49554962	289558.6	35563
55.939255	428.0	124.0	510.0	150.125	0.49554962	289558.6	35563
290.94226	383.5	52.28125	425.0	169.125	0.49554962	289558.6	35563
104.46778	290.25	118.8125	243.0	108.625	0.49554962	289558.6	35563
63.84132	269.0	93.3125	241.0	121.6875	0.49554962	289558.6	35563
182.83195	230.0	87.5625	261.0	48.71875	-0.49554962	289558.6	35563
65.59817	325.25	74.625	355.0	114.25	0.49554962	289558.6	35563
298.612	580.5	109.6875	582.0	149.125	0.49554962	289558.6	35563
314.91644	687.5	116.8125	636.0	90.625	0.49554962	289558.6	35563
448.18918	385.75	144.125	468.0	90.8125	0.49554962	289558.6	35563
93.440506	242.125	51.78125	247.0	84.125	0.49554962	289558.6	35563
171.61644	312.5	123.6875	289.0	101.25	0.49554962	289558.6	35563
153.86612	471.25	83.8125	516.0	179.25	0.49554962	289558.6	35563
83.27909	365.25	137.75	342.0	183.625	0.49554962	289558.6	35563
154.83469	280.25	96.5625	377.0	74.1875	0.49554962	289558.6	35563
63.2541	582.5	65.9375	468.0	221.0	-0.49554962	289558.6	35563
60.297005	361.25	161.625	328.0	156.375	0.49554962	289558.6	35563
354.971	367.75	160.5	366.0	106.4375	-0.49554962	289558.6	35563
68.20981	329.0	81.875	350.0	114.4375	0.49554962	289558.6	35563
161.36469	412.75	132.625	392.0	157.125	-0.49554962	289558.6	35563
142.31776	441.5	136.75	470.0	159.625	0.49554962	289558.6	35563
622.27155	1105.0	250.5	1172.0	164.0	0.49554962	289558.6	35563
257.6724	401.25	131.5	323.0	145.5	0.49554962	289558.6	35563
132.74156	468.0	72.125	542.0	143.125	-0.49554962	289558.6	35563
264.293	454.0	91.9375	470.0	174.75	0.49554962	289558.6	35563
285.7778	653.5	166.25	692.0	160.625	0.49554962	289558.6	35563
85.208275	284.0	51.28125	256.0	116.0625	0.49554962	289558.6	35563
98.90469	280.75	94.375	249.0	99.6875	-0.49554962	289558.6	35563
148.37335	377.25	141.375	365.0	184.0	0.49554962	289558.6	35563
243.13069	410.0	101.4375	383.0	145.625	-0.49554962	289558.6	35563
137.1992	334.0	85.3125	368.0	83.875	0.49554962	289558.6	35563
74.38473	505.5	56.0625	486.0	92.1875	-0.49554962	289558.6	35563
431.92947	564.0	59.75	628.0	160.5	-0.49554962	289558.6	35563
156.69406	389.5	78.5625	404.0	124.75	0.49554962	289558.6	35563
152.92592	219.0	84.0625	255.5	88.375	0.49554962	289558.6	35563
144.72115	253.25	69.5625	308.0	98.6875	0.49554962	289558.6	35563
59.248775	608.0	93.6875	636.0	178.875	0.49554962	289558.6	35563
61.12517	248.625	85.8125	330.0	11.9140625	0.49554962	289558.6	35563
100.38919	389.5	131.625	244.0	148.625	0.49554962	289558.6	35563
90.66148	315.5	142.5	276.0	159.875	0.49554962	289558.6	35563
181.53429	578.5	95.375	578.0	54.53125	0.49554962	289558.6	35563
403.72195	353.0	126.4375	369.0	168.75	0.49554962	289558.6	35563
50.781105	462.75	110.1875	448.0	168.25	0.49554962	289558.6	35563
262.87875	432.75	146.875	405.0	197.25	0.49554962	289558.6	35563
261.0797	407.0	53.34375	390.0	165.125	0.49554962	289558.6	35563
108.656555	338.0	103.1875	342.0	126.9375	0.49554962	289558.6	35563
59.502167	334.25	58.625	320.0	144.125	0.49554962	289558.6	35563
180.78983	637.0	128.75	644.0	142.625	-0.49554962	289558.6	35563
47.249493	402.75	73.875	422.0	162.375	0.49554962	289558.6	35563
57.02118	606.5	145.125	594.0	3.2089844	0.49554962	289558.6	35563
105.79683	215.125	70.5625	290.0	91.25	0.49554962	289558.6	35563
376.00342	605.5	54.03125	624.0	145.375	0.49554962	289558.6	35563
122.655174	219.75	93.5	136.5	105.5	-0.49554962	289558.6	35563
72.06484	296.0	121.875	323.0	83.3125	-0.49554962	289558.6	35563
129.58658	458.5	112.875	530.0	133.375	0.49554962	289558.6	35563
197.46298	263.0	59.28125	350.0	74.5625	0.49554962	289558.6	35563
69.503716	371.5	117.875	328.0	149.875	0.49554962	289558.6	35563
93.45328	201.125	66.75	267.0	76.875	0.49554962	289558.6	35563
88.39442	516.0	122.125	494.0	185.25	0.49554962	289558.6	35563
123.95349	321.0	97.875	354.0	121.4375	0.49554962	289558.6	35563
119.681015	388.75	73.75	433.0	151.375	0.49554962	289558.6	35563
181.58719	312.5	132.625	196.5	94.0	0.49554962	289558.6	35563
208.34676	309.0	59.0625	342.0	92.9375	0.49554962	289558.6	35563
151.49783	713.0	115.125	646.0	205.5	0.49554962	289558.6	35563
143.59973	370.25	50.1875	337.0	134.5	0.49554962	289558.6	35563
94.840256	482.5	108.5625	550.0	155.375	0.49554962	289558.6	35563
181.4267	359.75	87.4375	335.0	80.5	0.49554962	289558.6	35563
185.06064	589.0	92.125	590.0	176.625	0.49554962	289558.6	35563
213.19205	480.75	84.0	447.0	184.625	0.49554962	289558.6	35563
142.18073	203.75	75.0625	203.5	80.5	0.49554962	289558.6	35563
74.65357	233.875	70.125	300.0	99.1875	-0.49554962	289558.6	35563
150.84549	330.5	108.3125	266.0	137.5	0.49554962	289558.6	35563
182.52151	369.5	75.625	290.0	165.375	0.49554962	289558.6	35563
37.926296	397.75	51.78125	419.0	155.125	0.49554962	289558.6	35563
609.74347	1001.0	82.9375	662.0	249.0	0.49554962	289558.6	35563
106.45143	457.5	82.625	412.0	167.875	0.49554962	289558.6	35563
472.5312	476.0	200.0	325.0	251.25	0.49554962	289558.6	35563
146.16455	278.5	63.28125	228.0	60.3125	0.49554962	289558.6	35563
396.62024	275.25	72.6875	392.0	104.1875	0.49554962	289558.6	35563
110.32828	330.75	71.0625	365.0	125.375	0.49554962	289558.6	35563
255.25786	526.5	103.625	538.0	166.25	0.49554962	289558.6	35563
53.278584	386.0	69.6875	314.0	3.3925781	0.49554962	289558.6	35563
167.78835	342.75	53.6875	294.0	150.25	0.49554962	289558.6	35563
75.88588	363.25	148.375	333.0	159.625	-0.49554962	289558.6	35563
