lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
121.52946	201.875	80.25	4.1914062	72.6983	13841465.0	12199200
94.25296	547.0	43.0625	5.6132812	72.6983	13841465.0	12199200
76.95395	207.75	41.0625	61.46875	72.6983	13841465.0	12199200
199.51297	469.0	86.3125	4.1445312	72.6983	13841465.0	12199200
74.50393	291.25	137.625	13.671875	72.6983	13841465.0	12199200
40.211	220.75	70.9375	21.265625	72.6983	13841465.0	12199200
41.2011	251.5	81.1875	53.03125	72.6983	13841465.0	12199200
33.968113	201.875	32.65625	75.875	72.6983	13841465.0	12199200
72.708534	219.375	90.0	2.5449219	72.6983	13841465.0	12199200
22.98067	487.0	46.25	102.4375	72.6983	13841465.0	12199200
60.202744	227.875	62.75	75.8125	72.6983	13841465.0	12199200
77.02199	208.0	77.1875	55.46875	72.6983	13841465.0	12199200
62.7605	208.25	81.0	60.71875	72.6983	13841465.0	12199200
140.7558	301.0	41.09375	48.8125	72.6983	13841465.0	12199200
57.27219	508.0	48.125	137.875	72.6983	13841465.0	12199200
141.09837	270.25	99.9375	90.25	72.6983	13841465.0	12199200
82.9714	248.5	39.6875	3.9238281	72.6983	13841465.0	12199200
71.02425	269.25	52.5	18.65625	72.6983	13841465.0	12199200
55.10929	245.75	101.4375	76.4375	72.6983	13841465.0	12199200
77.054596	298.75	27.34375	10.453125	72.6983	13841465.0	12199200
85.24464	227.5	65.75	2.5410156	72.6983	13841465.0	12199200
53.14829	228.25	76.625	4.6953125	72.6983	13841465.0	12199200
30.207832	503.5	123.6875	104.25	72.6983	13841465.0	12199200
92.907906	260.0	87.6875	30.125	72.6983	13841465.0	12199200
81.67925	213.75	29.640625	0.8286133	72.6983	13841465.0	12199200
77.336464	208.75	55.0	72.4375	72.6983	13841465.0	12199200
27.132042	268.0	116.9375	62.28125	72.6983	13841465.0	12199200
55.63638	201.875	91.1875	4.2226562	72.6983	13841465.0	12199200
103.0106	218.0	117.1875	4.015625	72.6983	13841465.0	12199200
58.22209	332.75	30.78125	2.3847656	72.6983	13841465.0	12199200
26.272161	207.25	35.9375	3.0488281	72.6983	13841465.0	12199200
50.521656	203.875	66.8125	64.1875	72.6983	13841465.0	12199200
111.243744	222.375	41.90625	4.125	72.6983	13841465.0	12199200
37.024918	224.375	117.5	21.90625	72.6983	13841465.0	12199200
103.44135	227.875	35.75	7.125	72.6983	13841465.0	12199200
54.914127	211.625	79.0625	3.9550781	72.6983	13841465.0	12199200
120.76716	257.0	62.0	55.71875	72.6983	13841465.0	12199200
44.66131	286.0	82.375	3.1035156	72.6983	13841465.0	12199200
39.24881	225.0	107.875	20.390625	72.6983	13841465.0	12199200
139.79306	201.125	25.953125	3.234375	72.6983	13841465.0	12199200
89.185326	399.5	88.6875	5.09375	72.6983	13841465.0	12199200
92.253265	222.375	121.5	3.15625	72.6983	13841465.0	12199200
109.19257	261.0	119.8125	53.03125	72.6983	13841465.0	12199200
60.184017	226.0	56.84375	86.25	72.6983	13841465.0	12199200
60.34309	353.0	85.6875	122.4375	72.6983	13841465.0	12199200
58.00314	201.125	46.3125	2.9746094	72.6983	13841465.0	12199200
