lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
48.792465	207.5	139.125	7.7695312	1.0	1122000.0	306360
92.58752	200.625	48.0	17.859375	1.0	1122000.0	306360
72.058014	205.75	160.125	5.3789062	1.0	1122000.0	306360
115.61291	283.75	104.8125	64.9375	1.0	1122000.0	306360
112.819824	207.125	55.8125	1.6523438	1.0	1122000.0	306360
44.897457	260.0	132.75	95.8125	1.0	1122000.0	306360
67.70058	302.25	125.375	60.625	1.0	1122000.0	306360
61.974213	207.375	120.625	73.4375	1.0	1122000.0	306360
87.76161	208.25	74.625	27.5	1.0	1122000.0	306360
80.17219	241.625	89.1875	4.6679688	1.0	1122000.0	306360
33.78618	222.25	75.9375	40.6875	1.0	1122000.0	306360
49.974426	310.0	38.4375	5.3867188	1.0	1122000.0	306360
46.15904	204.5	51.59375	4.875	1.0	1122000.0	306360
94.41395	232.5	103.25	7.0664062	1.0	1122000.0	306360
30.73649	231.875	43.6875	50.09375	1.0	1122000.0	306360
82.13803	313.0	45.59375	20.25	1.0	1122000.0	306360
73.12577	211.5	48.78125	7.9726562	1.0	1122000.0	306360
106.964195	208.75	113.8125	4.3984375	1.0	1122000.0	306360
68.0145	222.75	150.75	5.09375	1.0	1122000.0	306360
72.46868	217.0	75.0	19.140625	1.0	1122000.0	306360
41.06135	228.75	37.78125	70.1875	1.0	1122000.0	306360
59.614483	202.375	115.1875	25.09375	1.0	1122000.0	306360
31.30613	203.375	31.25	6.015625	1.0	1122000.0	306360
141.847	280.25	30.359375	7.8984375	1.0	1122000.0	306360
160.63988	580.5	64.75	15.9375	1.0	1122000.0	306360
57.487858	296.0	72.5625	47.59375	1.0	1122000.0	306360
27.42634	205.5	91.5625	7.53125	1.0	1122000.0	306360
136.08946	207.625	75.125	62.125	1.0	1122000.0	306360
91.1335	215.25	99.1875	4.8554688	1.0	1122000.0	306360
58.471188	601.0	97.9375	128.125	1.0	1122000.0	306360
30.62649	222.375	151.125	6.8789062	1.0	1122000.0	306360
23.482176	264.0	89.125	107.5625	1.0	1122000.0	306360
51.141212	214.0	77.75	2.6640625	1.0	1122000.0	306360
121.41378	304.75	57.1875	6.5898438	1.0	1122000.0	306360
180.78557	358.5	148.75	17.5625	1.0	1122000.0	306360
29.351324	292.25	154.125	69.0625	1.0	1122000.0	306360
102.70018	242.0	117.5	4.6796875	1.0	1122000.0	306360
92.384346	386.0	124.0625	68.3125	1.0	1122000.0	306360
139.93526	327.0	38.84375	27.796875	1.0	1122000.0	306360
29.69812	281.5	38.375	3.3105469	1.0	1122000.0	306360
43.241905	354.75	103.5625	9.0078125	1.0	1122000.0	306360
126.84507	306.0	49.5	0.86572266	1.0	1122000.0	306360
185.58215	223.125	35.15625	3.1054688	1.0	1122000.0	306360
82.23316	257.0	62.65625	7.6679688	1.0	1122000.0	306360
42.38426	204.125	43.96875	37.3125	1.0	1122000.0	306360
60.069633	209.75	91.8125	11.53125	1.0	1122000.0	306360
117.6375	387.0	45.53125	14.0078125	1.0	1122000.0	306360
72.20108	202.625	74.125	59.90625	1.0	1122000.0	306360
82.84364	254.0	113.4375	1.0810547	1.0	1122000.0	306360
78.37394	202.125	101.5	2.5507812	1.0	1122000.0	306360
85.689445	296.75	132.75	10.6171875	1.0	1122000.0	306360
49.427994	270.75	53.59375	17.59375	1.0	1122000.0	306360
113.85498	303.5	37.3125	6.5390625	1.0	1122000.0	306360
46.65462	221.5	50.0625	8.9453125	1.0	1122000.0	306360
94.15385	201.0	53.90625	13.4765625	1.0	1122000.0	306360
48.157063	214.875	70.625	8.3359375	1.0	1122000.0	306360
51.293755	223.375	39.78125	3.9453125	1.0	1122000.0	306360
118.36031	236.25	125.1875	6.2109375	1.0	1122000.0	306360
75.919235	237.875	52.9375	3.2460938	1.0	1122000.0	306360
98.52641	216.5	120.625	22.59375	1.0	1122000.0	306360
115.32958	446.25	101.0625	4.1875	1.0	1122000.0	306360
53.759403	238.375	59.34375	78.75	1.0	1122000.0	306360
75.28413	216.625	118.6875	6.4726562	1.0	1122000.0	306360
104.31964	395.0	59.09375	10.65625	1.0	1122000.0	306360
75.45343	296.0	55.78125	31.28125	1.0	1122000.0	306360
74.19096	212.875	86.9375	58.40625	1.0	1122000.0	306360
