lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
51.69749	215.0	129.375	64.1875	-2.8689086	225952.33	29118
71.02149	203.5	76.625	83.25	2.8689086	225952.33	29118
53.025063	213.375	65.125	12.75	2.8689086	225952.33	29118
228.74123	551.5	107.0625	119.1875	2.8689086	225952.33	29118
81.429245	205.375	84.875	22.8125	2.8689086	225952.33	29118
137.02477	321.5	147.875	96.5	2.8689086	225952.33	29118
69.42913	222.375	30.09375	78.0	2.8689086	225952.33	29118
32.438583	230.25	46.9375	91.875	2.8689086	225952.33	29118
138.13684	232.0	103.8125	72.625	2.8689086	225952.33	29118
59.15267	227.0	43.03125	0.08123779	-2.8689086	225952.33	29118
156.66705	242.375	41.6875	15.6875	2.8689086	225952.33	29118
152.86046	220.75	94.125	83.5	-2.8689086	225952.33	29118
87.061195	238.375	119.5	5.96875	-2.8689086	225952.33	29118
102.76952	202.75	26.078125	22.828125	-2.8689086	225952.33	29118
85.39269	232.125	86.5	85.3125	-2.8689086	225952.33	29118
108.95067	227.125	50.1875	91.875	-2.8689086	225952.33	29118
151.18254	604.0	77.3125	129.5	-2.8689086	225952.33	29118
48.898872	280.25	37.53125	118.8125	2.8689086	225952.33	29118
101.39364	211.375	34.5625	17.609375	-2.8689086	225952.33	29118
36.314392	235.5	82.8125	26.703125	2.8689086	225952.33	29118
47.478645	227.125	66.3125	51.4375	2.8689086	225952.33	29118
166.59749	535.0	189.625	80.8125	2.8689086	225952.33	29118
263.23773	484.25	142.0	140.5	2.8689086	225952.33	29118
106.83018	310.25	42.40625	36.6875	-2.8689086	225952.33	29118
57.23507	420.5	54.09375	80.125	2.8689086	225952.33	29118
309.1489	675.0	108.3125	93.125	-2.8689086	225952.33	29118
66.76423	291.75	93.0	120.4375	2.8689086	225952.33	29118
79.85312	316.75	38.03125	78.375	2.8689086	225952.33	29118
180.20422	277.0	41.46875	51.84375	2.8689086	225952.33	29118
111.85357	474.75	125.4375	171.625	2.8689086	225952.33	29118
57.566696	316.25	39.5	120.5	2.8689086	225952.33	29118
67.514854	222.0	124.9375	84.3125	-2.8689086	225952.33	29118
93.34492	313.25	92.9375	126.25	-2.8689086	225952.33	29118
37.257656	245.5	61.875	88.75	2.8689086	225952.33	29118
428.4967	831.5	88.6875	72.75	2.8689086	225952.33	29118
70.487114	220.625	52.90625	13.8203125	2.8689086	225952.33	29118
110.7464	460.25	28.53125	191.875	2.8689086	225952.33	29118
95.93967	245.75	28.53125	86.1875	2.8689086	225952.33	29118
91.65944	283.0	60.65625	123.875	2.8689086	225952.33	29118
55.865704	256.5	57.84375	32.0	2.8689086	225952.33	29118
70.04761	290.75	91.8125	112.75	2.8689086	225952.33	29118
123.51848	323.25	31.828125	2.6933594	2.8689086	225952.33	29118
94.25062	231.375	110.25	90.125	-2.8689086	225952.33	29118
42.071724	335.5	78.5	97.25	-2.8689086	225952.33	29118
85.3088	297.5	86.6875	95.1875	-2.8689086	225952.33	29118
216.35571	227.75	83.6875	83.875	2.8689086	225952.33	29118
66.506775	235.5	66.0	25.0	-2.8689086	225952.33	29118
27.742586	329.0	78.1875	36.1875	2.8689086	225952.33	29118
178.22072	518.0	129.125	155.625	-2.8689086	225952.33	29118
19.532583	540.5	88.3125	186.5	-2.8689086	225952.33	29118
26.104286	228.375	48.1875	81.375	2.8689086	225952.33	29118
47.59243	233.5	119.0625	96.375	2.8689086	225952.33	29118
130.8778	398.5	65.75	51.625	-2.8689086	225952.33	29118
53.6143	206.25	81.5	93.3125	-2.8689086	225952.33	29118
167.80763	240.5	60.09375	102.625	2.8689086	225952.33	29118
37.082985	294.5	90.75	112.8125	2.8689086	225952.33	29118
95.05174	281.75	30.421875	95.0	2.8689086	225952.33	29118
56.343365	231.5	80.625	84.9375	-2.8689086	225952.33	29118
64.66762	313.5	85.375	8.0859375	2.8689086	225952.33	29118
95.605194	403.0	29.9375	156.625	2.8689086	225952.33	29118
110.44374	229.125	29.84375	96.4375	2.8689086	225952.33	29118
79.533806	200.25	152.5	86.75	2.8689086	225952.33	29118
93.43637	227.375	30.921875	20.5625	-2.8689086	225952.33	29118
48.378082	386.0	60.09375	105.3125	2.8689086	225952.33	29118
43.249218	228.375	131.5	1.4912109	2.8689086	225952.33	29118
44.229992	326.0	155.0	158.75	2.8689086	225952.33	29118
300.19287	281.75	97.875	102.75	2.8689086	225952.33	29118
59.33062	281.0	68.875	6.9726562	-2.8689086	225952.33	29118
77.67413	491.75	27.640625	118.875	2.8689086	225952.33	29118
76.7364	332.0	61.0	78.0625	2.8689086	225952.33	29118
113.21958	286.0	29.96875	55.96875	2.8689086	225952.33	29118
57.99435	237.375	36.3125	89.6875	-2.8689086	225952.33	29118
114.12055	245.0	77.6875	83.6875	-2.8689086	225952.33	29118
58.551205	216.625	58.59375	63.1875	-2.8689086	225952.33	29118
115.437965	234.0	81.5	87.25	-2.8689086	225952.33	29118
72.955505	283.0	28.9375	33.875	2.8689086	225952.33	29118
113.49035	271.25	58.8125	2.5566406	2.8689086	225952.33	29118
130.91066	206.625	52.875	69.5625	2.8689086	225952.33	29118
63.66821	256.0	144.625	65.0625	2.8689086	225952.33	29118
37.915653	334.75	141.875	115.6875	-2.8689086	225952.33	29118
116.63525	539.5	59.53125	86.875	-2.8689086	225952.33	29118
92.10791	273.25	44.21875	87.875	-2.8689086	225952.33	29118
56.776226	502.25	59.28125	10.1796875	2.8689086	225952.33	29118
135.30023	264.5	91.5625	94.5	-2.8689086	225952.33	29118
70.73181	208.25	25.359375	60.53125	2.8689086	225952.33	29118
30.49774	208.125	78.8125	25.96875	2.8689086	225952.33	29118
99.826515	206.125	82.125	90.8125	2.8689086	225952.33	29118
50.202095	306.0	58.1875	157.5	-2.8689086	225952.33	29118
45.719254	291.75	126.5	7.6914062	-2.8689086	225952.33	29118
85.14103	235.625	51.3125	44.875	2.8689086	225952.33	29118
43.146866	222.625	153.125	95.1875	-2.8689086	225952.33	29118
106.05162	230.125	136.0	9.609375	2.8689086	225952.33	29118
94.6156	223.5	58.84375	100.0625	2.8689086	225952.33	29118
111.90609	241.25	124.5	102.9375	2.8689086	225952.33	29118
110.985886	340.0	139.25	84.8125	2.8689086	225952.33	29118
59.63594	206.0	55.59375	2.1914062	2.8689086	225952.33	29118
135.52345	223.0	26.984375	38.71875	2.8689086	225952.33	29118
52.19519	221.25	113.6875	1.1806641	2.8689086	225952.33	29118
79.50018	237.25	54.90625	47.375	2.8689086	225952.33	29118
122.72918	220.5	56.96875	37.6875	2.8689086	225952.33	29118
173.78082	214.0	104.125	47.0625	2.8689086	225952.33	29118
105.17279	224.0	88.5	85.5	2.8689086	225952.33	29118
49.94325	354.5	49.15625	139.5	2.8689086	225952.33	29118
