lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
235.65115	292.75	126.6875	37.96875	0.61813426	36514.426	33941
116.71788	339.0	88.0625	131.875	0.61813426	36514.426	33941
57.602283	268.25	109.9375	116.375	0.61813426	36514.426	33941
51.398636	275.25	35.625	103.125	-0.61813426	36514.426	33941
75.34317	645.0	102.375	4.1796875	-0.61813426	36514.426	33941
504.67474	217.5	70.4375	77.25	0.61813426	36514.426	33941
141.20833	470.0	55.40625	17.921875	-0.61813426	36514.426	33941
58.542336	247.5	109.875	63.84375	-0.61813426	36514.426	33941
42.676014	330.75	42.6875	11.1484375	-0.61813426	36514.426	33941
55.83243	340.75	109.5625	13.515625	0.61813426	36514.426	33941
105.9335	291.5	81.0	91.625	0.61813426	36514.426	33941
232.67088	303.5	112.875	141.75	-0.61813426	36514.426	33941
92.93899	531.0	34.4375	214.5	-0.61813426	36514.426	33941
104.959885	409.0	66.75	181.625	0.61813426	36514.426	33941
141.34079	248.875	47.1875	115.625	-0.61813426	36514.426	33941
52.316246	287.25	100.4375	3.6152344	0.61813426	36514.426	33941
172.15282	598.5	102.1875	231.875	0.61813426	36514.426	33941
53.659103	324.25	53.28125	92.125	0.61813426	36514.426	33941
39.854862	260.5	132.25	93.9375	-0.61813426	36514.426	33941
83.77845	471.25	84.9375	155.875	-0.61813426	36514.426	33941
151.25607	446.25	84.9375	146.75	0.61813426	36514.426	33941
57.81835	219.25	83.4375	3.59375	0.61813426	36514.426	33941
68.73589	473.75	67.875	127.1875	0.61813426	36514.426	33941
53.165882	370.25	120.6875	153.625	0.61813426	36514.426	33941
49.71868	215.5	55.96875	59.25	0.61813426	36514.426	33941
273.80057	511.25	98.5	186.125	0.61813426	36514.426	33941
64.85253	258.75	120.8125	2.3300781	0.61813426	36514.426	33941
67.25918	302.5	47.125	18.203125	0.61813426	36514.426	33941
60.199432	233.0	77.8125	48.625	0.61813426	36514.426	33941
155.28568	268.0	80.8125	9.4453125	-0.61813426	36514.426	33941
96.181984	330.75	160.625	144.625	0.61813426	36514.426	33941
128.76501	451.0	126.9375	143.125	0.61813426	36514.426	33941
37.142693	560.0	63.46875	167.875	0.61813426	36514.426	33941
68.58819	586.0	159.25	197.125	0.61813426	36514.426	33941
97.81594	536.0	151.375	1.6816406	0.61813426	36514.426	33941
125.585884	263.75	54.53125	97.375	-0.61813426	36514.426	33941
75.88916	219.875	30.0	27.578125	-0.61813426	36514.426	33941
55.17872	316.0	30.109375	54.875	-0.61813426	36514.426	33941
58.765457	232.25	78.125	8.40625	0.61813426	36514.426	33941
229.75774	534.5	124.0625	120.4375	0.61813426	36514.426	33941
85.69938	257.0	102.5	5.7421875	-0.61813426	36514.426	33941
32.035732	450.75	33.8125	108.6875	0.61813426	36514.426	33941
162.44783	248.375	58.21875	97.1875	0.61813426	36514.426	33941
59.833786	212.625	74.1875	20.0	0.61813426	36514.426	33941
60.55893	711.0	163.25	191.875	0.61813426	36514.426	33941
182.15039	300.75	129.25	17.109375	0.61813426	36514.426	33941
96.9935	436.5	99.5625	5.5273438	0.61813426	36514.426	33941
171.16245	299.75	43.03125	53.78125	0.61813426	36514.426	33941
43.0449	616.5	56.28125	18.0	0.61813426	36514.426	33941
44.19106	238.875	91.75	38.03125	0.61813426	36514.426	33941
137.3553	232.625	97.4375	16.25	0.61813426	36514.426	33941
129.27487	231.0	110.125	58.71875	0.61813426	36514.426	33941
46.93385	367.25	33.125	2.5546875	0.61813426	36514.426	33941
148.01578	352.5	65.75	109.3125	0.61813426	36514.426	33941
154.4919	478.5	37.0625	2.8476562	-0.61813426	36514.426	33941
45.638195	238.375	54.59375	2.8457031	0.61813426	36514.426	33941
125.370895	536.0	106.6875	1.4677734	-0.61813426	36514.426	33941
57.04494	243.0	115.8125	92.375	0.61813426	36514.426	33941
71.71989	277.0	47.5	38.46875	0.61813426	36514.426	33941
134.76158	243.375	107.125	83.75	-0.61813426	36514.426	33941
120.3804	354.25	117.9375	7.3554688	-0.61813426	36514.426	33941
63.456142	387.0	104.625	3.1132812	0.61813426	36514.426	33941
105.96586	250.25	126.1875	104.5	0.61813426	36514.426	33941
73.73509	382.75	26.578125	101.125	0.61813426	36514.426	33941
98.39071	312.5	85.3125	25.578125	0.61813426	36514.426	33941
44.760956	335.25	70.3125	2.2207031	0.61813426	36514.426	33941
69.93059	319.25	101.8125	5.7265625	-0.61813426	36514.426	33941
187.29756	301.25	143.0	5.6171875	0.61813426	36514.426	33941
73.93589	271.25	79.75	116.0625	0.61813426	36514.426	33941
63.015602	256.75	71.0	54.15625	0.61813426	36514.426	33941
89.769295	209.875	33.28125	90.0625	0.61813426	36514.426	33941
43.891357	332.75	144.5	8.8984375	0.61813426	36514.426	33941
61.002155	209.625	41.78125	80.25	-0.61813426	36514.426	33941
44.64826	392.0	43.4375	112.9375	-0.61813426	36514.426	33941
90.10416	287.0	102.4375	14.453125	0.61813426	36514.426	33941
69.44795	357.25	69.0625	105.75	0.61813426	36514.426	33941
47.861935	223.375	39.25	14.6328125	0.61813426	36514.426	33941
60.16894	266.25	95.875	59.0	0.61813426	36514.426	33941
186.29375	356.0	91.1875	115.0	0.61813426	36514.426	33941
210.12573	407.75	109.0625	123.8125	0.61813426	36514.426	33941
57.232944	438.75	97.0625	7.171875	0.61813426	36514.426	33941
264.2518	570.5	36.8125	1.6181641	0.61813426	36514.426	33941
62.557026	225.25	132.875	78.5	0.61813426	36514.426	33941
91.571915	234.75	26.453125	79.75	0.61813426	36514.426	33941
65.86505	302.75	28.5625	26.875	0.61813426	36514.426	33941
115.57989	304.75	51.5625	85.5625	0.61813426	36514.426	33941
112.59609	232.875	77.75	107.625	0.61813426	36514.426	33941
66.0133	217.25	53.125	65.3125	0.61813426	36514.426	33941
94.88485	236.625	103.5	67.375	0.61813426	36514.426	33941
236.168	435.75	99.625	113.0	0.61813426	36514.426	33941
126.12095	233.75	86.9375	5.484375	0.61813426	36514.426	33941
48.96668	311.25	101.9375	119.875	-0.61813426	36514.426	33941
51.99617	930.0	42.9375	29.21875	0.61813426	36514.426	33941
41.01014	494.25	89.0625	195.75	0.61813426	36514.426	33941
80.21506	429.25	71.375	2.7246094	0.61813426	36514.426	33941
185.99867	550.5	94.875	105.625	0.61813426	36514.426	33941
52.45154	397.5	128.75	170.625	0.61813426	36514.426	33941
168.48854	258.0	150.5	1.7304688	0.61813426	36514.426	33941
67.36525	220.125	74.1875	-1.6521662e-06	0.61813426	36514.426	33941
48.667618	400.5	137.75	172.625	0.61813426	36514.426	33941
140.51836	788.0	74.25	139.125	0.61813426	36514.426	33941
93.85218	218.0	92.6875	102.625	-0.61813426	36514.426	33941
20.73219	275.75	137.875	21.859375	0.61813426	36514.426	33941
43.70851	359.5	34.21875	104.4375	-0.61813426	36514.426	33941
81.977104	252.125	153.375	16.453125	0.61813426	36514.426	33941
49.710236	249.5	57.0	6.6679688	0.61813426	36514.426	33941
160.66336	466.5	99.625	2.6171875	-0.61813426	36514.426	33941
35.40696	255.0	51.25	4.3320312	0.61813426	36514.426	33941
75.871254	281.0	116.5	0.24169922	-0.61813426	36514.426	33941
62.023804	485.75	41.875	67.0625	0.61813426	36514.426	33941
31.848843	330.75	25.359375	78.8125	0.61813426	36514.426	33941
50.00682	403.0	77.125	4.15625	-0.61813426	36514.426	33941
41.837143	223.125	145.625	8.015625	0.61813426	36514.426	33941
117.32826	345.0	100.5625	102.6875	0.61813426	36514.426	33941
117.68165	226.25	116.0625	48.8125	-0.61813426	36514.426	33941
170.41862	465.25	137.0	172.375	0.61813426	36514.426	33941
36.010742	261.0	58.96875	48.53125	-0.61813426	36514.426	33941
200.07715	552.5	48.875	87.375	0.61813426	36514.426	33941
47.039013	391.5	31.21875	152.625	0.61813426	36514.426	33941
47.422115	202.75	116.9375	7.71875	0.61813426	36514.426	33941
51.540558	311.0	51.21875	88.125	-0.61813426	36514.426	33941
