lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
85.14261	254.875	85.75	83.3125	0.49554962	177184.75	35563
237.48	448.5	51.25	137.875	-0.49554962	177184.75	35563
304.96097	440.0	30.421875	20.96875	0.49554962	177184.75	35563
195.06207	559.0	32.28125	167.0	-0.49554962	177184.75	35563
210.92033	315.75	57.9375	120.875	0.49554962	177184.75	35563
125.654655	296.75	30.84375	79.9375	0.49554962	177184.75	35563
96.656235	375.75	161.875	169.0	0.49554962	177184.75	35563
286.1834	473.0	103.5625	82.8125	0.49554962	177184.75	35563
62.862377	267.75	48.84375	6.4492188	0.49554962	177184.75	35563
174.23024	235.875	61.96875	92.5625	-0.49554962	177184.75	35563
157.37938	254.125	27.28125	44.34375	0.49554962	177184.75	35563
91.56133	492.5	55.8125	146.125	0.49554962	177184.75	35563
101.2655	381.5	136.125	152.875	0.49554962	177184.75	35563
196.91597	285.75	79.3125	34.46875	-0.49554962	177184.75	35563
83.188515	388.75	115.5	173.875	0.49554962	177184.75	35563
196.32272	348.75	29.40625	94.125	0.49554962	177184.75	35563
100.42956	424.25	124.625	166.5	-0.49554962	177184.75	35563
57.59485	204.25	142.5	58.375	0.49554962	177184.75	35563
207.65889	314.5	52.84375	1.9375	0.49554962	177184.75	35563
84.9732	206.625	33.25	56.5	0.49554962	177184.75	35563
137.03333	227.5	89.1875	4.0507812	0.49554962	177184.75	35563
84.992294	237.75	139.5	100.3125	0.49554962	177184.75	35563
77.65006	337.0	90.75	91.375	0.49554962	177184.75	35563
222.49963	306.25	41.84375	42.09375	0.49554962	177184.75	35563
56.219822	315.5	64.6875	21.65625	0.49554962	177184.75	35563
211.62918	440.75	30.921875	83.6875	0.49554962	177184.75	35563
108.41926	361.25	93.4375	4.3007812	0.49554962	177184.75	35563
88.16198	217.75	32.5625	92.5625	0.49554962	177184.75	35563
80.798706	245.625	102.9375	69.5625	0.49554962	177184.75	35563
82.41911	338.25	68.0625	25.890625	0.49554962	177184.75	35563
112.685936	323.0	71.9375	3.1660156	0.49554962	177184.75	35563
126.219864	303.25	25.71875	72.9375	0.49554962	177184.75	35563
120.51836	293.5	112.375	115.625	-0.49554962	177184.75	35563
68.01309	224.75	53.78125	58.6875	0.49554962	177184.75	35563
88.46173	206.375	84.6875	90.0	0.49554962	177184.75	35563
442.54688	578.5	34.28125	197.5	0.49554962	177184.75	35563
408.4947	640.5	110.125	173.875	-0.49554962	177184.75	35563
202.33644	959.5	36.4375	90.6875	0.49554962	177184.75	35563
88.78132	405.75	39.6875	183.625	0.49554962	177184.75	35563
86.28265	280.75	88.5625	116.5	-0.49554962	177184.75	35563
131.2512	227.5	91.3125	96.375	-0.49554962	177184.75	35563
100.09222	228.0	60.09375	87.25	0.49554962	177184.75	35563
110.106606	201.75	39.8125	50.125	-0.49554962	177184.75	35563
183.76636	218.875	102.25	89.1875	0.49554962	177184.75	35563
296.93423	265.75	111.625	5.5	0.49554962	177184.75	35563
177.89449	430.25	134.625	212.375	-0.49554962	177184.75	35563
161.0045	217.125	56.0625	89.125	0.49554962	177184.75	35563
208.70728	201.25	66.5	56.8125	0.49554962	177184.75	35563
357.41428	577.5	120.5	145.25	0.49554962	177184.75	35563
304.71436	207.75	83.4375	71.25	0.49554962	177184.75	35563
111.355835	230.125	123.0	30.359375	-0.49554962	177184.75	35563
291.151	332.25	52.5	85.9375	0.49554962	177184.75	35563
92.188965	494.75	71.75	172.375	0.49554962	177184.75	35563
233.32321	220.875	63.5	9.1640625	0.49554962	177184.75	35563
135.14842	224.5	53.09375	72.1875	0.49554962	177184.75	35563
208.09102	237.625	55.625	72.5	0.49554962	177184.75	35563
205.31935	278.0	60.5625	6.0820312	0.49554962	177184.75	35563
164.85121	267.5	26.6875	86.3125	-0.49554962	177184.75	35563
103.26449	439.25	33.8125	163.625	-0.49554962	177184.75	35563
97.73775	345.25	97.9375	140.875	0.49554962	177184.75	35563
