lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
64.089455	222.5	31.53125	27.65625	15.384004	8959076.0	855600
107.12508	201.625	25.234375	1.7802734	15.384004	8959076.0	855600
104.16706	372.5	146.875	89.8125	-15.384004	8959076.0	855600
29.000555	277.25	27.625	72.8125	15.384004	8959076.0	855600
98.5208	277.5	53.28125	26.171875	-15.384004	8959076.0	855600
443.45523	331.75	37.125	5.671875	15.384004	8959076.0	855600
95.994545	263.75	64.25	95.875	15.384004	8959076.0	855600
93.19842	202.25	105.75	0.7416992	-15.384004	8959076.0	855600
44.923256	268.5	100.25	33.84375	15.384004	8959076.0	855600
256.31213	255.375	29.5	5.625	15.384004	8959076.0	855600
124.24185	296.25	72.875	95.3125	-15.384004	8959076.0	855600
116.360466	232.375	74.8125	1.4716797	15.384004	8959076.0	855600
140.24498	400.5	72.5625	40.625	15.384004	8959076.0	855600
616.3213	532.5	128.25	80.6875	-15.384004	8959076.0	855600
109.44886	408.0	66.5	14.6171875	15.384004	8959076.0	855600
294.27908	375.75	47.375	81.25	15.384004	8959076.0	855600
76.050186	202.75	66.5	66.5	15.384004	8959076.0	855600
432.01962	465.25	27.828125	71.375	15.384004	8959076.0	855600
150.90248	271.0	54.0625	68.0625	15.384004	8959076.0	855600
208.49657	317.0	100.75	0.9086914	15.384004	8959076.0	855600
137.41519	207.75	67.3125	0.3984375	15.384004	8959076.0	855600
313.03656	251.375	26.171875	68.75	15.384004	8959076.0	855600
296.8787	423.75	95.4375	2.546875	-15.384004	8959076.0	855600
363.78925	246.125	119.1875	3.6328125	15.384004	8959076.0	855600
296.61017	347.5	31.640625	3.4394531	-15.384004	8959076.0	855600
55.421665	264.25	26.75	22.84375	-15.384004	8959076.0	855600
63.27591	638.0	38.1875	115.875	15.384004	8959076.0	855600
85.52323	488.5	25.796875	3.4082031	15.384004	8959076.0	855600
114.7066	301.25	26.859375	3.8789062	15.384004	8959076.0	855600
164.8024	227.375	86.1875	86.375	-15.384004	8959076.0	855600
226.47942	369.25	33.0	1.359375	-15.384004	8959076.0	855600
263.98074	499.5	31.265625	132.75	15.384004	8959076.0	855600
149.21141	291.0	73.8125	2.3554688	-15.384004	8959076.0	855600
178.26933	333.5	151.875	88.0	-15.384004	8959076.0	855600
140.59015	239.0	73.3125	89.5625	15.384004	8959076.0	855600
131.8203	212.375	37.8125	1.9052734	15.384004	8959076.0	855600
288.4896	270.0	33.25	78.25	-15.384004	8959076.0	855600
261.8969	364.75	27.671875	29.546875	-15.384004	8959076.0	855600
128.41127	253.875	70.5	88.375	15.384004	8959076.0	855600
409.54257	575.5	41.53125	2.1816406	15.384004	8959076.0	855600
465.32697	476.25	30.515625	91.125	-15.384004	8959076.0	855600
208.78758	328.0	26.734375	2.8867188	15.384004	8959076.0	855600
124.530304	216.75	58.875	7.3945312	15.384004	8959076.0	855600
229.22919	291.5	88.375	2.2148438	-15.384004	8959076.0	855600
120.88174	236.375	35.71875	6.8125	15.384004	8959076.0	855600
70.09644	240.125	68.6875	3.2753906	15.384004	8959076.0	855600
197.75836	211.625	46.25	4.7382812	-15.384004	8959076.0	855600
