lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
156.86743	308.25	92.0	106.375	-8.513033	4755335.5	1213296
130.88779	206.375	62.6875	58.375	8.513033	4755335.5	1213296
49.11358	257.25	88.375	123.75	8.513033	4755335.5	1213296
202.76369	273.25	31.28125	17.546875	8.513033	4755335.5	1213296
166.05334	270.75	103.625	115.1875	8.513033	4755335.5	1213296
114.85014	218.125	40.375	6.6640625	8.513033	4755335.5	1213296
151.99008	270.5	33.40625	86.25	8.513033	4755335.5	1213296
134.57193	271.0	139.625	26.546875	8.513033	4755335.5	1213296
218.92747	423.0	67.8125	127.8125	8.513033	4755335.5	1213296
152.754	652.0	32.6875	5.8046875	8.513033	4755335.5	1213296
128.63568	475.0	58.71875	71.375	8.513033	4755335.5	1213296
147.93338	279.5	60.375	3.7558594	-8.513033	4755335.5	1213296
118.66128	267.5	110.25	2.8945312	8.513033	4755335.5	1213296
227.9795	203.125	35.375	1.9677734	8.513033	4755335.5	1213296
46.234463	229.0	31.09375	23.890625	8.513033	4755335.5	1213296
136.7924	202.0	72.625	20.140625	8.513033	4755335.5	1213296
115.04894	221.25	94.5625	10.5078125	8.513033	4755335.5	1213296
96.64016	273.0	69.125	70.3125	8.513033	4755335.5	1213296
154.1429	226.875	57.59375	47.8125	8.513033	4755335.5	1213296
141.0532	366.5	42.78125	137.125	8.513033	4755335.5	1213296
196.25253	231.5	42.1875	4.1796875	8.513033	4755335.5	1213296
99.68041	201.25	76.0	87.6875	8.513033	4755335.5	1213296
253.23672	280.75	34.28125	60.15625	-8.513033	4755335.5	1213296
61.591408	264.5	27.5625	94.6875	8.513033	4755335.5	1213296
190.40979	336.75	71.4375	99.375	-8.513033	4755335.5	1213296
183.69424	205.25	35.9375	1.2460938	-8.513033	4755335.5	1213296
182.65991	321.0	45.8125	99.5625	8.513033	4755335.5	1213296
250.38019	205.375	32.625	5.1835938	-8.513033	4755335.5	1213296
189.30121	214.625	89.9375	95.875	8.513033	4755335.5	1213296
172.77675	286.25	86.0	98.0	8.513033	4755335.5	1213296
348.90793	654.5	48.59375	1.2919922	8.513033	4755335.5	1213296
120.049	202.125	116.875	12.59375	8.513033	4755335.5	1213296
328.3784	208.5	109.4375	1.7167969	8.513033	4755335.5	1213296
55.320076	446.0	27.078125	0.69628906	8.513033	4755335.5	1213296
281.14954	315.5	76.1875	96.875	-8.513033	4755335.5	1213296
60.81652	226.125	55.5625	53.09375	-8.513033	4755335.5	1213296
76.64122	203.875	128.375	8.2734375	-8.513033	4755335.5	1213296
128.4322	269.5	40.46875	87.0625	8.513033	4755335.5	1213296
160.50122	220.375	34.71875	75.6875	8.513033	4755335.5	1213296
247.63092	217.25	37.4375	81.75	-8.513033	4755335.5	1213296
281.1968	225.875	43.0625	54.09375	8.513033	4755335.5	1213296
162.23683	204.5	51.8125	4.0625	8.513033	4755335.5	1213296
209.44075	231.5	59.3125	27.3125	8.513033	4755335.5	1213296
190.41385	218.375	120.8125	67.125	-8.513033	4755335.5	1213296
55.321064	245.0	38.4375	8.5625	8.513033	4755335.5	1213296
315.18875	372.25	53.96875	91.1875	8.513033	4755335.5	1213296
344.0018	266.75	42.46875	4.5898438	8.513033	4755335.5	1213296
196.19171	551.5	48.5	137.875	8.513033	4755335.5	1213296
133.73074	206.625	48.09375	27.640625	8.513033	4755335.5	1213296
168.36095	244.75	143.25	1.3134766	8.513033	4755335.5	1213296
265.8065	269.25	48.9375	0.68896484	-8.513033	4755335.5	1213296
237.09174	247.375	82.1875	78.0	8.513033	4755335.5	1213296
86.251335	280.5	71.0625	97.25	8.513033	4755335.5	1213296
94.78708	220.75	43.0	3.3007812	-8.513033	4755335.5	1213296
97.27304	227.5	72.5	24.8125	8.513033	4755335.5	1213296
89.95458	278.0	111.625	3.8261719	8.513033	4755335.5	1213296
217.13461	303.0	56.5	108.6875	8.513033	4755335.5	1213296
88.16352	339.75	69.5	7.9726562	8.513033	4755335.5	1213296
582.6411	486.25	29.09375	12.8984375	8.513033	4755335.5	1213296
135.50671	287.0	38.71875	28.3125	8.513033	4755335.5	1213296
72.17621	261.5	40.875	3.4316406	8.513033	4755335.5	1213296
178.96591	339.25	63.8125	83.3125	8.513033	4755335.5	1213296
80.358765	380.75	48.09375	23.640625	8.513033	4755335.5	1213296
260.7116	232.25	48.375	69.6875	8.513033	4755335.5	1213296
291.43646	402.5	29.046875	2.5195312	8.513033	4755335.5	1213296
118.98572	234.875	118.25	19.859375	-8.513033	4755335.5	1213296
241.83475	245.75	152.875	11.4296875	8.513033	4755335.5	1213296
226.63684	251.5	35.59375	4.390625	8.513033	4755335.5	1213296
119.189766	202.25	25.484375	3.8964844	8.513033	4755335.5	1213296
178.56847	216.75	47.78125	2.2167969	-8.513033	4755335.5	1213296
81.06566	269.75	25.3125	105.25	8.513033	4755335.5	1213296
70.320625	249.125	36.53125	7.4140625	8.513033	4755335.5	1213296
93.18352	276.0	39.46875	3.4121094	8.513033	4755335.5	1213296
140.10191	252.75	25.609375	20.09375	8.513033	4755335.5	1213296
180.29527	225.125	67.0625	1.9160156	-8.513033	4755335.5	1213296
163.10808	245.0	35.78125	2.9804688	8.513033	4755335.5	1213296
86.34588	251.0	52.21875	2.3027344	8.513033	4755335.5	1213296
74.245316	258.25	50.78125	82.375	8.513033	4755335.5	1213296
214.5894	371.0	42.28125	109.25	-8.513033	4755335.5	1213296
102.88445	236.0	32.71875	80.8125	8.513033	4755335.5	1213296
216.56715	324.75	36.8125	31.640625	-8.513033	4755335.5	1213296
170.16418	226.875	26.53125	12.59375	8.513033	4755335.5	1213296
320.0992	232.0	115.9375	81.125	8.513033	4755335.5	1213296
194.42827	268.75	30.3125	53.28125	8.513033	4755335.5	1213296
58.111824	235.25	35.15625	6.0859375	8.513033	4755335.5	1213296
121.268326	243.875	82.5	97.625	8.513033	4755335.5	1213296
231.66107	327.75	67.3125	114.8125	8.513033	4755335.5	1213296
55.566196	231.375	100.9375	4.7773438	8.513033	4755335.5	1213296
49.265404	268.5	135.625	0.47143555	8.513033	4755335.5	1213296
81.60862	208.75	30.84375	62.40625	8.513033	4755335.5	1213296
121.32629	246.0	102.125	52.6875	-8.513033	4755335.5	1213296
282.8299	422.25	72.0	10.1015625	8.513033	4755335.5	1213296
102.804596	231.0	76.25	9.4921875	8.513033	4755335.5	1213296
353.72592	483.0	33.875	52.34375	8.513033	4755335.5	1213296
53.071922	227.5	84.8125	16.828125	8.513033	4755335.5	1213296
249.75351	313.0	100.0	140.625	8.513033	4755335.5	1213296
195.54195	214.75	63.21875	38.25	8.513033	4755335.5	1213296
180.99393	411.5	132.25	18.515625	8.513033	4755335.5	1213296
70.04767	206.75	120.3125	14.0546875	-8.513033	4755335.5	1213296
108.77064	248.125	59.625	55.0625	8.513033	4755335.5	1213296
374.8012	386.75	26.953125	107.75	8.513033	4755335.5	1213296
268.39362	202.125	28.171875	1.9931641	8.513033	4755335.5	1213296
53.785706	200.875	99.4375	29.5	-8.513033	4755335.5	1213296
118.04967	257.25	105.6875	3.8535156	8.513033	4755335.5	1213296
105.21294	216.25	61.28125	4.4804688	8.513033	4755335.5	1213296
172.07706	256.75	32.59375	83.8125	8.513033	4755335.5	1213296
168.27731	324.75	84.0625	4.3320312	8.513033	4755335.5	1213296
43.15176	215.625	131.5	71.875	8.513033	4755335.5	1213296
70.13686	354.25	54.53125	1.5683594	8.513033	4755335.5	1213296
184.3276	247.25	29.890625	93.75	8.513033	4755335.5	1213296
156.31624	212.375	98.9375	26.28125	8.513033	4755335.5	1213296
168.13611	229.375	76.1875	93.625	8.513033	4755335.5	1213296
301.272	371.0	27.71875	91.8125	-8.513033	4755335.5	1213296
121.020874	247.75	33.71875	1.8261719	8.513033	4755335.5	1213296
196.76674	418.0	107.5	1.9423828	-8.513033	4755335.5	1213296
247.02463	241.375	34.15625	1.8808594	-8.513033	4755335.5	1213296
265.81906	396.5	27.296875	14.6015625	8.513033	4755335.5	1213296
82.203156	262.25	164.125	0.5722656	8.513033	4755335.5	1213296
119.322655	213.25	82.125	87.875	8.513033	4755335.5	1213296
119.16977	784.0	114.75	10.125	8.513033	4755335.5	1213296
326.03497	339.25	60.375	5.46875	8.513033	4755335.5	1213296
124.68495	218.0	44.03125	5.7109375	8.513033	4755335.5	1213296
119.516335	205.625	36.09375	1.65625	8.513033	4755335.5	1213296
310.4155	314.0	123.25	110.5	-8.513033	4755335.5	1213296
62.56463	366.75	36.8125	2.6542969	8.513033	4755335.5	1213296
62.807777	301.75	42.53125	86.5625	8.513033	4755335.5	1213296
261.70227	511.75	37.34375	6.4257812	8.513033	4755335.5	1213296
139.85939	221.75	37.625	2.6992188	8.513033	4755335.5	1213296
192.78462	222.75	26.234375	2.4511719	-8.513033	4755335.5	1213296
436.96442	561.0	40.34375	82.375	8.513033	4755335.5	1213296
85.77157	212.25	31.09375	64.8125	8.513033	4755335.5	1213296
304.35324	469.75	41.46875	99.1875	8.513033	4755335.5	1213296
203.00209	274.0	114.8125	112.375	-8.513033	4755335.5	1213296
116.249344	244.5	68.5	97.3125	-8.513033	4755335.5	1213296
81.867294	236.0	40.34375	14.2578125	8.513033	4755335.5	1213296
134.19138	246.625	141.875	7.1679688	8.513033	4755335.5	1213296
290.78262	330.75	38.6875	84.4375	8.513033	4755335.5	1213296
145.11667	200.75	25.515625	5.3945312	8.513033	4755335.5	1213296
371.4662	369.0	43.5	105.6875	-8.513033	4755335.5	1213296
145.40114	265.25	107.25	103.4375	-8.513033	4755335.5	1213296
228.61406	205.5	54.65625	6.2421875	8.513033	4755335.5	1213296
278.0731	303.0	34.15625	86.1875	8.513033	4755335.5	1213296
117.0352	222.5	42.46875	3.296875	8.513033	4755335.5	1213296
249.74939	379.5	26.484375	77.6875	8.513033	4755335.5	1213296
112.61502	244.75	125.125	1.7109375	8.513033	4755335.5	1213296
125.03734	208.875	26.625	36.875	8.513033	4755335.5	1213296
60.203617	240.25	109.9375	6.578125	8.513033	4755335.5	1213296
195.12608	266.5	46.3125	18.359375	-8.513033	4755335.5	1213296
168.8999	226.0	116.0	95.875	8.513033	4755335.5	1213296
237.07318	223.375	123.5625	100.9375	8.513033	4755335.5	1213296
317.42184	372.25	42.25	3.0371094	-8.513033	4755335.5	1213296
220.49373	214.875	44.28125	1.9073486e-06	8.513033	4755335.5	1213296
121.50498	275.5	30.6875	118.3125	-8.513033	4755335.5	1213296
160.71419	221.875	69.125	3.6660156	8.513033	4755335.5	1213296
296.6473	307.75	36.90625	0.83447266	8.513033	4755335.5	1213296
87.08229	207.25	49.4375	6.15625	8.513033	4755335.5	1213296
92.95981	259.0	48.21875	98.625	-8.513033	4755335.5	1213296
118.19344	341.5	69.375	89.4375	8.513033	4755335.5	1213296
65.571236	216.375	30.140625	2.5488281	-8.513033	4755335.5	1213296
50.60014	375.0	41.625	15.6171875	8.513033	4755335.5	1213296
51.014523	220.625	72.25	9.0625	-8.513033	4755335.5	1213296
63.00816	253.0	116.5625	0.8989258	-8.513033	4755335.5	1213296
190.8411	307.25	82.5	47.0	8.513033	4755335.5	1213296
292.7427	246.25	57.96875	67.875	8.513033	4755335.5	1213296
197.30728	203.375	42.5	12.859375	8.513033	4755335.5	1213296
150.73598	222.5	150.375	16.84375	8.513033	4755335.5	1213296
152.7717	222.5	100.1875	98.375	8.513033	4755335.5	1213296
90.13543	242.0	37.5	3.5332031	8.513033	4755335.5	1213296
194.57281	267.25	57.28125	94.8125	8.513033	4755335.5	1213296
120.591606	335.75	27.609375	57.90625	8.513033	4755335.5	1213296
96.80188	455.0	40.46875	3.7851562	8.513033	4755335.5	1213296
228.41026	337.5	61.40625	41.65625	8.513033	4755335.5	1213296
200.61127	240.625	41.8125	86.25	-8.513033	4755335.5	1213296
167.48827	225.25	27.140625	4.6992188	8.513033	4755335.5	1213296
157.76855	222.5	35.21875	47.6875	-8.513033	4755335.5	1213296
94.78557	305.25	43.21875	92.5625	8.513033	4755335.5	1213296
230.22046	215.375	37.125	35.90625	8.513033	4755335.5	1213296
236.65465	233.375	66.375	85.375	8.513033	4755335.5	1213296
65.63997	267.0	61.59375	1.2246094	8.513033	4755335.5	1213296
158.78668	218.875	37.625	9.4765625	8.513033	4755335.5	1213296
223.93816	215.25	45.0	68.625	8.513033	4755335.5	1213296
140.0442	241.75	89.3125	0.078552246	8.513033	4755335.5	1213296
554.27844	370.5	33.375	5.6640625	8.513033	4755335.5	1213296
