lep_pt	AK8_pt	t32	Msd	Flag	genWeights	sumWeight	N_exp
388.45117	397.25	0.51492536	174.375	a	-0.49554962	209709.69	35563
297.70477	626.0	0.87201196	12.6015625	d	0.49554962	209709.69	35563
328.83444	203.25	0.8933447	62.4375		-0.49554962	209709.69	35563
224.57016	185.75	0.88711035	-1.0	c	0.49554962	209709.69	35563
79.24457	282.75	0.9056399	110.0625	b	-0.49554962	209709.69	35563
97.191574	275.75	0.938026	84.625	c	0.49554962	209709.69	35563
83.20463	247.875	0.886351	101.1875	b	0.49554962	209709.69	35563
296.47318	468.25	0.8613402	148.75		0.49554962	209709.69	35563
129.23334	199.25	0.8426602	5.9570312		0.49554962	209709.69	35563
189.86823	282.0	0.748566	87.5625	b	-0.49554962	209709.69	35563
173.37875	212.75	0.56004554	83.1875		0.49554962	209709.69	35563
76.47702	205.375	0.5729599	74.0	c	-0.49554962	209709.69	35563
354.23978	299.5	0.9255725	82.0		0.49554962	209709.69	35563
82.54122	219.5	0.7630058	74.9375	c	0.49554962	209709.69	35563
225.86122	347.25	0.9024055	81.75		0.49554962	209709.69	35563
185.20819	388.5	0.73294574	114.0	b	0.49554962	209709.69	35563
135.80142	234.875	0.88832253	63.6875		0.49554962	209709.69	35563
138.30226	220.875	0.62971514	34.875	c	0.49554962	209709.69	35563
89.26175	551.0	0.811042	150.5		0.49554962	209709.69	35563
32.72714	199.0	0.9002445	61.25	d	0.49554962	209709.69	35563
53.50856	289.5	0.51349694	108.75	b	-0.49554962	209709.69	35563
124.52691	266.25	0.8007737	47.71875	d	-0.49554962	209709.69	35563
161.27335	481.5	0.9470491	99.625	b	0.49554962	209709.69	35563
102.56438	267.25	0.65986395	100.25	b	-0.49554962	209709.69	35563
321.60953	531.5	0.6317477	118.3125	a	0.49554962	209709.69	35563
155.71191	240.625	0.89282703	102.125	c	0.49554962	209709.69	35563
96.1291	542.0	0.76802355	119.75		0.49554962	209709.69	35563
82.35354	198.25	0.752551	60.5		0.49554962	209709.69	35563
120.120926	206.5	0.61490685	49.84375		0.49554962	209709.69	35563
