lep_pt	AK8_pt	H_t	AK4_pt	t32	Msd	genWeights	sumWeight	N_exp
303.9585	558.0	205.4375	168.25	0.3267827	194.125	1.0	49000.0	1380
232.59859	558.5	255.5625	174.75	0.7336825	174.25	1.0	49000.0	1380
175.07047	972.0	131.0	131.0	0.7070384	184.5	1.0	49000.0	1380
500.38327	456.0	216.1875	110.125	0.5743632	191.875	1.0	49000.0	1380
77.11159	718.5	117.0625	117.0625	0.46129543	303.5	1.0	49000.0	1380
397.31174	1091.0	119.5	70.375	0.5335968	160.75	1.0	49000.0	1380
473.7614	524.0	97.5625	97.5625	0.82259613	92.6875	1.0	49000.0	1380
364.27585	1022.0	88.4375	88.4375	0.5735586	131.125	1.0	49000.0	1380
420.85266	716.5	126.96875	86.375	0.8377997	1.453125	1.0	49000.0	1380
484.2865	877.0	110.125	110.125	0.7196608	65.1875	1.0	49000.0	1380
131.61763	718.5	131.75	131.75	0.7868061	100.5625	1.0	49000.0	1380
449.99432	509.0	338.1875	147.5	0.83821136	143.25	1.0	49000.0	1380
152.3503	565.0	130.375	130.375	0.7867841	2.9785156	1.0	49000.0	1380
209.36198	1258.0	96.5625	96.5625	0.74762356	121.3125	1.0	49000.0	1380
92.32915	709.0	193.5625	139.75	0.7923387	144.5	1.0	49000.0	1380
277.14648	1033.0	57.25	57.25	0.47698745	192.75	1.0	49000.0	1380
311.9578	873.5	174.9375	134.75	0.38850576	192.25	1.0	49000.0	1380
145.88795	613.5	195.25	195.25	0.6964286	231.75	1.0	49000.0	1380
822.2826	1388.0	184.75	184.75	0.3955325	187.375	1.0	49000.0	1380
116.63318	763.5	103.0625	103.0625	0.8578345	78.0	1.0	49000.0	1380
470.76923	756.0	179.875	179.875	0.64708835	254.875	1.0	49000.0	1380
129.07106	1021.0	94.375	94.375	0.6996149	175.25	1.0	49000.0	1380
227.31071	929.5	118.796875	86.9375	0.74190176	102.0	1.0	49000.0	1380
416.25305	1204.0	135.375	68.625	0.53962153	180.875	1.0	49000.0	1380
96.88231	871.5	55.5625	55.5625	0.5764463	81.125	1.0	49000.0	1380
87.47381	1629.0	65.1875	65.1875	0.5982079	79.625	1.0	49000.0	1380
231.04617	997.5	378.75	378.75	0.40470532	426.25	1.0	49000.0	1380
407.3678	956.5	170.25	170.25	0.40422723	72.75	1.0	49000.0	1380
451.93506	616.5	157.0	90.75	0.45875883	153.0	1.0	49000.0	1380
89.06979	577.5	143.3125	86.4375	0.622695	168.0	1.0	49000.0	1380
120.23833	825.5	90.5	90.5	0.7069792	149.375	1.0	49000.0	1380
249.69308	637.0	138.875	138.875	0.62334114	195.625	1.0	49000.0	1380
219.6941	960.0	56.375	56.375	0.6269671	181.625	1.0	49000.0	1380
115.93775	775.5	205.9375	111.375	0.59155595	186.375	1.0	49000.0	1380
222.26717	1096.0	107.5625	107.5625	0.60013443	183.625	1.0	49000.0	1380
134.51591	622.0	69.25	69.25	0.43744355	169.125	1.0	49000.0	1380
496.3363	1234.0	80.3125	80.3125	0.5223354	221.375	1.0	49000.0	1380
