lep_pt	AK8_pt	genWeights	sumWeight	N_exp
123.208305	290.75	0.49554962	156882.11	35563
92.344475	268.25	-0.49554962	156882.11	35563
95.979355	633.5	0.49554962	156882.11	35563
329.2172	473.5	-0.49554962	156882.11	35563
335.25165	521.5	0.49554962	156882.11	35563
118.812035	255.875	-0.49554962	156882.11	35563
97.91555	472.25	0.49554962	156882.11	35563
125.20414	435.75	0.49554962	156882.11	35563
107.064606	569.5	-0.49554962	156882.11	35563
358.3752	371.75	0.49554962	156882.11	35563
232.22542	450.5	0.49554962	156882.11	35563
112.39768	525.5	0.49554962	156882.11	35563
68.2227	269.75	0.49554962	156882.11	35563
295.21298	495.25	0.49554962	156882.11	35563
59.041492	250.25	0.49554962	156882.11	35563
303.54816	474.25	-0.49554962	156882.11	35563
362.9608	575.0	-0.49554962	156882.11	35563
183.84642	258.0	0.49554962	156882.11	35563
168.2942	241.0	0.49554962	156882.11	35563
115.85577	407.0	-0.49554962	156882.11	35563
638.52216	450.25	0.49554962	156882.11	35563
193.2991	381.0	0.49554962	156882.11	35563
159.75027	347.0	-0.49554962	156882.11	35563
236.16101	464.75	-0.49554962	156882.11	35563
136.21437	395.75	0.49554962	156882.11	35563
659.40906	451.0	0.49554962	156882.11	35563
61.249268	673.5	0.49554962	156882.11	35563
77.20355	312.0	0.49554962	156882.11	35563
121.20351	290.75	-0.49554962	156882.11	35563
249.68172	261.5	0.49554962	156882.11	35563
147.76785	363.0	0.49554962	156882.11	35563
142.353	368.25	0.49554962	156882.11	35563
535.951	648.0	-0.49554962	156882.11	35563
317.33807	410.25	0.49554962	156882.11	35563
399.64566	525.0	0.49554962	156882.11	35563
134.29634	337.0	0.49554962	156882.11	35563
296.84012	419.5	0.49554962	156882.11	35563
214.94193	303.5	0.49554962	156882.11	35563
142.8083	395.0	-0.49554962	156882.11	35563
111.55383	495.0	0.49554962	156882.11	35563
130.32556	520.5	-0.49554962	156882.11	35563
112.27893	289.0	0.49554962	156882.11	35563
125.48123	283.75	0.49554962	156882.11	35563
82.87378	725.0	0.49554962	156882.11	35563
141.81747	302.5	-0.49554962	156882.11	35563
98.27641	269.75	0.49554962	156882.11	35563
90.235344	389.5	0.49554962	156882.11	35563
51.591225	340.75	0.49554962	156882.11	35563
293.61066	444.0	-0.49554962	156882.11	35563
316.2429	227.25	0.49554962	156882.11	35563
200.95827	531.5	0.49554962	156882.11	35563
127.93492	391.5	0.49554962	156882.11	35563
68.98143	252.5	-0.49554962	156882.11	35563
166.12143	329.0	-0.49554962	156882.11	35563
196.16516	351.5	0.49554962	156882.11	35563
423.7185	753.5	0.49554962	156882.11	35563
208.12978	408.0	0.49554962	156882.11	35563
207.03465	397.0	0.49554962	156882.11	35563
94.29089	283.75	0.49554962	156882.11	35563
58.30478	352.0	0.49554962	156882.11	35563
308.5554	560.5	0.49554962	156882.11	35563
67.4533	433.25	-0.49554962	156882.11	35563
113.28195	512.0	0.49554962	156882.11	35563
173.3589	474.25	0.49554962	156882.11	35563
292.89862	289.25	0.49554962	156882.11	35563
236.96387	622.0	0.49554962	156882.11	35563
126.06036	407.25	0.49554962	156882.11	35563
299.62747	362.75	0.49554962	156882.11	35563
90.45166	362.75	0.49554962	156882.11	35563
199.50856	415.25	-0.49554962	156882.11	35563
101.75484	367.25	0.49554962	156882.11	35563
122.242355	403.0	0.49554962	156882.11	35563
76.505196	490.5	0.49554962	156882.11	35563
242.95467	320.5	0.49554962	156882.11	35563
285.42706	399.0	0.49554962	156882.11	35563
139.50922	517.0	0.49554962	156882.11	35563
88.252884	374.75	0.49554962	156882.11	35563
187.26402	301.0	0.49554962	156882.11	35563
142.74036	309.75	0.49554962	156882.11	35563
