lep_pt	AK8_pt	genWeights	sumWeight	N_exp
101.93611	430.75	0.005284793	8.402821	415
233.90193	785.0	0.005284793	8.402821	415
306.5714	589.0	0.005284793	8.402821	415
180.40236	414.25	0.005284793	8.402821	415
211.7483	414.0	0.005284793	8.402821	415
61.713844	296.75	-0.005284793	8.402821	415
161.0198	383.5	0.005284793	8.402821	415
134.92366	250.25	-0.005284793	8.402821	415
168.56781	277.0	0.005284793	8.402821	415
194.31476	512.5	0.005284793	8.402821	415
341.169	446.5	0.005284793	8.402821	415
355.0337	489.75	-0.005284793	8.402821	415
388.85382	636.0	-0.005284793	8.402821	415
229.07773	491.25	0.005284793	8.402821	415
96.309845	413.5	0.005284793	8.402821	415
239.58255	344.25	-0.005284793	8.402821	415
243.16878	373.75	0.005284793	8.402821	415
223.59982	350.0	0.005284793	8.402821	415
169.51682	303.25	0.005284793	8.402821	415
213.01566	397.75	-0.005284793	8.402821	415
121.76641	383.0	0.005284793	8.402821	415
283.27103	667.0	0.005284793	8.402821	415
485.5192	603.5	0.005284793	8.402821	415
