lep_pt	AK8_pt	t32	Msd	Flag	genWeights	sumWeight	N_exp
55.456	385.5	0.75147927	118.8125	a	0.49554962	289486.16	35563
203.86115	343.0	0.45439285	133.625	b	0.49554962	289486.16	35563
320.63345	480.25	0.8283797	177.75	a	0.49554962	289486.16	35563
106.8533	379.75	0.57931405	170.75	a	0.49554962	289486.16	35563
276.5548	503.25	0.7117015	170.625	a	0.49554962	289486.16	35563
171.89	686.0	0.28828657	188.125		-0.49554962	289486.16	35563
279.79187	496.75	0.5126333	170.75	a	0.49554962	289486.16	35563
127.60429	299.5	0.82524806	143.25		0.49554962	289486.16	35563
153.89305	388.25	0.25779316	169.0	a	0.49554962	289486.16	35563
83.82748	353.75	0.70210135	166.625	a	-0.49554962	289486.16	35563
156.0903	367.25	0.8006795	124.1875		0.49554962	289486.16	35563
291.45322	294.75	0.66360193	110.25		0.49554962	289486.16	35563
159.32724	310.5	0.39694658	153.75		0.49554962	289486.16	35563
195.93864	320.5	0.7083333	84.8125		-0.49554962	289486.16	35563
257.42477	454.75	0.9128114	104.5625		0.49554962	289486.16	35563
181.49406	401.25	0.5521869	175.25	a	0.49554962	289486.16	35563
166.04568	248.75	0.79257095	88.4375	b	0.49554962	289486.16	35563
149.99815	377.25	0.77139366	166.75		0.49554962	289486.16	35563
121.749344	449.25	0.8483716	151.125	a	0.49554962	289486.16	35563
103.62803	275.25	0.59547246	96.125	c	0.49554962	289486.16	35563
326.52216	252.75	0.7459177	100.8125	b	0.49554962	289486.16	35563
91.22016	595.5	0.8103321	136.75		0.49554962	289486.16	35563
286.84024	663.0	0.47592738	126.5	a	0.49554962	289486.16	35563
180.69592	579.0	0.31035924	172.0	a	0.49554962	289486.16	35563
154.88028	641.0	0.3356227	186.0	a	0.49554962	289486.16	35563
479.6339	1475.0	0.6303096	379.5		-0.49554962	289486.16	35563
87.12255	659.0	0.44791102	181.375	a	0.49554962	289486.16	35563
345.79303	824.0	0.7073643	193.25	a	0.49554962	289486.16	35563
160.43622	363.25	0.79875517	134.625		0.49554962	289486.16	35563
