lep_pt	AK8_pt	H_t	AK4_pt	t32	Msd	genWeights	sumWeight	N_exp
248.55191	766.5	66.625	66.625	0.53406227	84.5625	1.0	50000.0	1380
265.72763	452.0	84.5625	84.5625	0.5338319	145.25	1.0	50000.0	1380
126.191864	675.0	83.1875	50.0	0.6045198	172.625	1.0	50000.0	1380
211.58336	583.0	40.03125	40.03125	0.7229381	84.625	1.0	50000.0	1380
369.83472	579.5	149.85938	53.75	0.47932175	200.375	1.0	50000.0	1380
304.188	437.75	156.25	156.25	0.58365387	74.0625	1.0	50000.0	1380
215.38304	892.5	104.25	104.25	0.45461148	178.125	1.0	50000.0	1380
242.3914	618.0	96.6875	96.6875	0.37103546	185.25	1.0	50000.0	1380
258.80344	654.5	81.4375	81.4375	0.5958202	208.25	1.0	50000.0	1380
368.99173	987.0	48.25	48.25	0.52371216	101.0	1.0	50000.0	1380
234.97495	684.5	65.25	65.25	0.58612204	157.875	1.0	50000.0	1380
228.67474	996.5	515.625	418.0	0.40868738	193.5	1.0	50000.0	1380
162.5028	777.5	353.1875	123.25	0.6561644	75.875	1.0	50000.0	1380
781.3772	921.5	33.4375	33.4375	0.8270089	94.8125	1.0	50000.0	1380
270.2678	508.0	119.90625	75.6875	0.57270914	158.625	1.0	50000.0	1380
270.41595	880.0	253.5625	163.75	0.49151292	217.125	1.0	50000.0	1380
177.52481	677.5	152.875	152.875	0.71028745	251.125	1.0	50000.0	1380
236.84506	617.5	117.828125	88.8125	0.6922504	157.375	1.0	50000.0	1380
305.07187	933.0	37.96875	37.96875	0.79591835	159.25	1.0	50000.0	1380
353.17398	753.0	184.96875	78.9375	0.5650773	115.375	1.0	50000.0	1380
254.39743	635.0	41.125	41.125	0.5997431	176.75	1.0	50000.0	1380
321.4211	609.0	161.5	161.5	0.6537611	217.0	1.0	50000.0	1380
338.89465	881.5	106.375	106.375	0.76744187	214.125	1.0	50000.0	1380
141.25613	701.5	40.9375	40.9375	0.5197248	178.125	1.0	50000.0	1380
351.96924	719.5	149.625	149.625	0.83543366	178.25	1.0	50000.0	1380
500.1696	453.5	65.625	65.625	0.66229224	129.125	1.0	50000.0	1380
408.96783	420.0	197.9375	105.0	0.5209724	170.5	1.0	50000.0	1380
557.4645	749.0	80.75	80.75	0.21648501	191.0	1.0	50000.0	1380
299.51743	549.0	147.40625	110.0	0.70566726	84.9375	1.0	50000.0	1380
378.6496	765.5	88.1875	88.1875	0.3668738	179.125	1.0	50000.0	1380
229.69595	747.5	56.5	56.5	0.645766	112.5625	1.0	50000.0	1380
219.1998	866.5	140.25	140.25	0.62233233	151.0	1.0	50000.0	1380
300.86795	485.5	30.109375	30.109375	0.7571235	58.4375	1.0	50000.0	1380
364.324	716.5	30.90625	30.90625	0.579743	174.75	1.0	50000.0	1380
272.07114	944.0	195.1875	130.125	0.41310796	185.5	1.0	50000.0	1380
394.04074	708.0	63.28125	63.28125	0.818873	200.25	1.0	50000.0	1380
187.36969	404.5	165.9375	112.0625	0.84476066	8.484375	1.0	50000.0	1380
343.84814	642.5	88.625	88.625	0.6018116	182.75	1.0	50000.0	1380
290.95627	401.25	27.984375	27.984375	0.5923994	165.25	1.0	50000.0	1380
322.9147	954.0	91.8125	91.8125	0.67478395	188.75	1.0	50000.0	1380
232.48094	811.5	117.84375	84.125	0.8180243	318.25	1.0	50000.0	1380
162.56868	580.5	85.125	85.125	0.28789094	184.5	1.0	50000.0	1380
232.74617	500.75	96.5	96.5	0.8829141	135.625	1.0	50000.0	1380
251.76009	748.5	104.875	104.875	0.39437047	175.375	1.0	50000.0	1380
189.8114	631.0	168.375	168.375	0.5766687	209.25	1.0	50000.0	1380
211.76741	1055.0	78.0625	78.0625	0.5903558	172.0	1.0	50000.0	1380
308.2638	837.5	56.125	56.125	0.5700467	192.0	1.0	50000.0	1380
270.49924	607.0	59.421875	33.53125	0.73630136	74.5625	1.0	50000.0	1380
133.13585	1138.0	35.34375	35.34375	0.8891552	149.0	1.0	50000.0	1380
348.56808	872.5	46.96875	46.96875	0.53895706	302.0	1.0	50000.0	1380
346.898	668.5	101.3125	101.3125	0.8635753	110.125	1.0	50000.0	1380
264.4395	651.0	109.875	109.875	0.8530735	76.75	1.0	50000.0	1380
223.6233	670.0	181.75	181.75	0.36620262	203.75	1.0	50000.0	1380
86.69036	629.5	89.875	89.875	0.5806182	174.875	1.0	50000.0	1380
356.43185	635.5	119.96875	77.625	0.6791209	141.375	1.0	50000.0	1380
221.6282	518.0	118.5625	118.5625	0.26865137	176.0	1.0	50000.0	1380
333.07513	775.5	247.6875	133.625	0.7082945	263.25	1.0	50000.0	1380
177.522	724.5	27.28125	27.28125	0.73941016	135.875	1.0	50000.0	1380
87.744194	433.0	124.0	124.0	0.701227	72.875	1.0	50000.0	1380
354.6227	477.25	195.6875	93.625	0.60451764	175.5	1.0	50000.0	1380
280.59976	643.5	33.28125	33.28125	0.7595778	178.75	1.0	50000.0	1380
196.55853	680.0	261.3125	155.25	0.8561644	173.25	1.0	50000.0	1380
295.20483	695.5	100.09375	59.84375	0.41965765	141.625	1.0	50000.0	1380
419.1974	862.0	101.421875	69.4375	0.53527695	68.5	1.0	50000.0	1380
233.42526	684.5	149.125	149.125	0.44375813	205.375	1.0	50000.0	1380
278.5358	669.5	185.78125	84.5	0.47309417	113.1875	1.0	50000.0	1380
324.46976	977.5	46.84375	46.84375	0.5552589	184.0	1.0	50000.0	1380
337.17487	453.25	25.359375	25.359375	0.71062994	175.5	1.0	50000.0	1380
264.5276	451.75	149.0	149.0	0.63431615	119.375	1.0	50000.0	1380
202.9606	693.5	146.875	116.3125	0.6783025	182.0	1.0	50000.0	1380
537.4619	916.5	138.15625	65.9375	0.4421601	2.6582031	1.0	50000.0	1380
293.8562	702.0	154.875	154.875	0.30024752	192.125	1.0	50000.0	1380
295.53513	764.0	144.875	144.875	0.7746888	197.0	1.0	50000.0	1380
281.5932	637.0	292.875	147.625	0.709564	195.875	1.0	50000.0	1380
371.95493	437.75	93.9375	49.96875	0.6042267	158.875	1.0	50000.0	1380
108.97514	307.25	104.875	39.3125	0.86545455	101.25	1.0	50000.0	1380
380.6755	801.5	127.90625	81.0625	0.5977306	134.375	1.0	50000.0	1380
337.43738	619.0	63.40625	63.40625	0.56099904	56.4375	1.0	50000.0	1380
259.22678	456.0	162.5	162.5	0.7222798	2.3242188	1.0	50000.0	1380
205.60994	515.0	50.40625	50.40625	0.62529004	81.8125	1.0	50000.0	1380
368.38824	856.5	78.75	78.75	0.6477093	194.5	1.0	50000.0	1380
367.1239	713.0	61.78125	61.78125	0.41740197	148.875	1.0	50000.0	1380
277.49728	503.0	111.28125	78.0	0.6840312	116.0625	1.0	50000.0	1380
173.84947	469.75	189.5	189.5	0.8521657	168.5	1.0	50000.0	1380
363.0968	623.5	44.875	44.875	0.7531486	154.375	1.0	50000.0	1380
593.3897	811.0	222.375	136.375	0.8126394	2.8417969	1.0	50000.0	1380
198.43202	662.0	110.0625	110.0625	0.3721122	182.5	1.0	50000.0	1380
218.06113	660.0	67.0625	67.0625	0.62228477	162.75	1.0	50000.0	1380
261.64215	924.5	193.25	116.375	0.4471154	43.25	1.0	50000.0	1380
96.83606	670.0	158.125	158.125	0.5521801	212.25	1.0	50000.0	1380
192.32295	433.25	307.5	162.625	0.7577369	139.75	1.0	50000.0	1380
252.44006	509.25	72.625	72.625	0.59377664	93.4375	1.0	50000.0	1380
247.81966	876.0	88.1875	88.1875	0.6307902	139.125	1.0	50000.0	1380
231.01581	751.5	257.09375	135.375	0.5145749	188.125	1.0	50000.0	1380
299.22885	658.0	71.9375	71.9375	0.75056434	103.75	1.0	50000.0	1380
135.29349	781.5	103.375	52.09375	0.7154471	41.5	1.0	50000.0	1380
256.73743	857.0	150.0	150.0	0.533313	183.25	1.0	50000.0	1380
334.4121	959.0	36.59375	36.59375	0.4345719	165.5	1.0	50000.0	1380
215.00294	575.5	31.328125	31.328125	0.4904224	147.625	1.0	50000.0	1380
455.4161	776.5	42.3125	42.3125	0.37906978	185.625	1.0	50000.0	1380
208.87186	1085.0	180.25	180.25	0.36372066	177.75	1.0	50000.0	1380
216.11356	657.0	110.1875	110.1875	0.8380282	3.7070312	1.0	50000.0	1380
407.16364	716.0	57.4375	57.4375	0.63893443	106.5625	1.0	50000.0	1380
391.36563	929.5	163.59375	138.5	0.6442105	149.5	1.0	50000.0	1380
157.61047	466.75	162.375	104.75	0.49318042	178.625	1.0	50000.0	1380
250.64844	610.0	170.625	170.625	0.90936553	186.25	1.0	50000.0	1380
165.92389	961.5	339.5	239.875	0.8334339	6.5273438	1.0	50000.0	1380
144.58862	498.25	195.375	120.0625	0.57450795	175.375	1.0	50000.0	1380
109.71072	706.5	278.0625	167.375	0.40643275	196.25	1.0	50000.0	1380
164.47963	643.0	66.8125	66.8125	0.5307564	70.125	1.0	50000.0	1380
132.1984	585.5	118.0	90.0	0.57839537	88.5625	1.0	50000.0	1380
261.4163	608.0	76.4375	76.4375	0.70015574	130.0	1.0	50000.0	1380
229.96545	876.5	145.625	145.625	0.45390245	234.75	1.0	50000.0	1380
146.94357	592.0	105.5	105.5	0.31635803	184.0	1.0	50000.0	1380
317.04605	702.0	202.125	108.4375	0.52905345	161.375	1.0	50000.0	1380
325.7756	851.5	82.375	82.375	0.4542276	86.25	1.0	50000.0	1380
376.53488	1008.5	90.71875	50.25	0.43246517	133.125	1.0	50000.0	1380
257.5671	351.25	103.875	103.875	0.42493016	179.625	1.0	50000.0	1380
208.48543	748.0	61.90625	61.90625	0.25532407	164.5	1.0	50000.0	1380
463.81635	334.5	138.28125	91.75	0.73123485	97.25	1.0	50000.0	1380
418.19547	448.25	136.40625	79.5625	0.49122167	144.625	1.0	50000.0	1380
103.081924	485.25	97.5625	97.5625	0.3	163.375	1.0	50000.0	1380
326.96423	618.5	101.9375	101.9375	0.45536724	168.375	1.0	50000.0	1380
275.212	695.5	115.53125	61.0625	0.63176006	75.25	1.0	50000.0	1380
309.3737	1479.0	52.5625	52.5625	0.55856574	461.25	1.0	50000.0	1380
422.31177	391.0	96.5	96.5	0.6697149	101.8125	1.0	50000.0	1380
377.99304	1073.0	176.375	93.625	0.4251773	82.25	1.0	50000.0	1380
301.1389	721.0	64.5625	64.5625	0.4064935	58.84375	1.0	50000.0	1380
226.75192	585.5	274.8125	209.25	0.63893014	104.5625	1.0	50000.0	1380
258.43848	757.5	42.65625	42.65625	0.3639813	186.625	1.0	50000.0	1380
386.5009	426.0	145.25	145.25	0.58206487	177.625	1.0	50000.0	1380
298.6859	537.0	46.9375	46.9375	0.592433	105.375	1.0	50000.0	1380
223.72424	618.0	82.9375	82.9375	0.8581856	83.0	1.0	50000.0	1380
349.24493	725.5	62.75	62.75	0.56030285	182.625	1.0	50000.0	1380
175.55763	670.0	60.4375	60.4375	0.56888664	94.1875	1.0	50000.0	1380
285.64066	1199.0	110.625	110.625	0.5760555	105.8125	1.0	50000.0	1380
385.05435	632.5	146.75	146.75	0.6489152	54.84375	1.0	50000.0	1380
376.93863	723.0	114.578125	87.4375	0.70303255	153.125	1.0	50000.0	1380
197.75427	848.0	55.21875	55.21875	0.71460176	324.0	1.0	50000.0	1380
327.1173	382.75	186.21875	151.75	0.5648855	171.125	1.0	50000.0	1380
283.9778	750.5	97.3125	97.3125	0.3683347	208.5	1.0	50000.0	1380
246.83905	561.5	73.1875	73.1875	0.80451125	140.0	1.0	50000.0	1380
289.17395	861.5	64.6875	64.6875	0.7228608	265.75	1.0	50000.0	1380
224.75797	645.5	71.625	71.625	0.667288	167.125	1.0	50000.0	1380
381.7112	781.0	114.5	65.4375	0.8484699	136.125	1.0	50000.0	1380
235.98605	737.0	87.375	87.375	0.47657713	114.125	1.0	50000.0	1380
194.28711	666.5	150.0	150.0	0.54235834	220.375	1.0	50000.0	1380
310.19138	551.5	67.125	67.125	0.63284236	130.0	1.0	50000.0	1380
504.72824	318.75	239.6875	102.6875	0.547063	136.125	1.0	50000.0	1380
339.573	794.5	48.84375	48.84375	0.5905486	179.375	1.0	50000.0	1380
271.36835	668.5	56.84375	56.84375	0.6167793	158.0	1.0	50000.0	1380
298.48544	969.5	68.0	68.0	0.46815956	75.3125	1.0	50000.0	1380
309.1114	805.5	123.6875	123.6875	0.47347316	219.625	1.0	50000.0	1380
329.67786	462.25	82.5	82.5	0.5191589	145.75	1.0	50000.0	1380
271.2282	504.25	153.1875	92.0	0.80024314	126.9375	1.0	50000.0	1380
170.8775	708.5	177.20312	148.75	0.9327006	12.484375	1.0	50000.0	1380
333.31635	653.0	52.21875	52.21875	0.5523399	87.5	1.0	50000.0	1380
343.37732	1068.0	329.0625	278.25	0.66094774	366.25	1.0	50000.0	1380
176.65457	524.0	75.9375	75.9375	0.4598716	145.25	1.0	50000.0	1380
565.0741	609.5	63.125	63.125	0.70454544	84.75	1.0	50000.0	1380
224.90598	859.0	47.40625	47.40625	0.3510572	178.875	1.0	50000.0	1380
172.31882	517.5	89.3125	89.3125	0.44498608	156.875	1.0	50000.0	1380
310.69	475.75	72.1875	72.1875	0.33787465	195.875	1.0	50000.0	1380
230.38312	918.5	50.21875	50.21875	0.3508319	89.375	1.0	50000.0	1380
202.39917	503.0	130.96875	88.75	0.7381526	90.5625	1.0	50000.0	1380
438.37537	885.5	116.625	116.625	0.561414	176.125	1.0	50000.0	1380
338.6836	873.5	60.59375	60.59375	0.5825688	239.25	1.0	50000.0	1380
451.4054	824.5	45.5	45.5	0.6760753	195.0	1.0	50000.0	1380
262.10648	321.75	74.375	74.375	0.7550882	97.3125	1.0	50000.0	1380
391.8754	740.5	109.8125	109.8125	0.42037186	211.375	1.0	50000.0	1380
241.857	654.5	182.1875	96.1875	0.40992063	210.75	1.0	50000.0	1380
417.89713	866.5	154.5	154.5	0.52377003	178.25	1.0	50000.0	1380
154.39449	879.0	27.765625	27.765625	0.58547276	309.25	1.0	50000.0	1380
335.84216	863.5	364.5	364.5	0.45447087	157.5	1.0	50000.0	1380
261.57095	413.75	154.125	154.125	0.38271028	180.625	1.0	50000.0	1380
390.60287	732.5	290.1875	184.5	0.54015404	198.5	1.0	50000.0	1380
103.84952	615.0	53.9375	53.9375	0.66235954	166.125	1.0	50000.0	1380
166.13959	439.0	146.5	146.5	0.73452914	144.625	1.0	50000.0	1380
302.75497	643.0	33.1875	33.1875	0.84168655	114.75	1.0	50000.0	1380
299.6753	857.0	114.9375	114.9375	0.7386179	137.0	1.0	50000.0	1380
254.33571	891.5	31.53125	31.53125	0.688918	136.25	1.0	50000.0	1380
170.76564	595.5	266.5	266.5	0.67421085	99.875	1.0	50000.0	1380
271.74667	782.0	60.25	60.25	0.63419914	128.625	1.0	50000.0	1380
263.1787	912.0	91.875	91.875	0.23717472	239.875	1.0	50000.0	1380
263.09976	841.5	263.5	263.5	0.8151094	143.25	1.0	50000.0	1380
450.17154	549.5	128.375	128.375	0.3957034	206.625	1.0	50000.0	1380
