lep_pt	genWeights	sumWeight	N_exp
75.48178	-0.61813426	31798.062	33941
84.245705	0.61813426	31798.062	33941
71.02261	0.61813426	31798.062	33941
244.88155	0.61813426	31798.062	33941
106.376114	0.61813426	31798.062	33941
61.58786	0.61813426	31798.062	33941
80.37533	0.61813426	31798.062	33941
104.98516	0.61813426	31798.062	33941
76.372116	0.61813426	31798.062	33941
61.36741	0.61813426	31798.062	33941
52.862823	0.61813426	31798.062	33941
105.24339	0.61813426	31798.062	33941
79.925766	0.61813426	31798.062	33941
123.80889	-0.61813426	31798.062	33941
103.48408	0.61813426	31798.062	33941
70.42067	0.61813426	31798.062	33941
78.024796	0.61813426	31798.062	33941
108.79847	0.61813426	31798.062	33941
149.98341	-0.61813426	31798.062	33941
38.060707	0.61813426	31798.062	33941
35.9596	0.61813426	31798.062	33941
50.502945	0.61813426	31798.062	33941
67.633316	0.61813426	31798.062	33941
103.76139	0.61813426	31798.062	33941
85.50725	0.61813426	31798.062	33941
90.01484	0.61813426	31798.062	33941
56.93831	-0.61813426	31798.062	33941
126.44487	0.61813426	31798.062	33941
45.97566	0.61813426	31798.062	33941
63.01729	-0.61813426	31798.062	33941
126.06224	0.61813426	31798.062	33941
123.7433	0.61813426	31798.062	33941
54.906887	0.61813426	31798.062	33941
97.16397	0.61813426	31798.062	33941
82.9484	0.61813426	31798.062	33941
82.023384	0.61813426	31798.062	33941
68.0559	0.61813426	31798.062	33941
69.21949	0.61813426	31798.062	33941
57.6108	0.61813426	31798.062	33941
59.427277	0.61813426	31798.062	33941
181.48137	0.61813426	31798.062	33941
66.03787	0.61813426	31798.062	33941
83.61772	0.61813426	31798.062	33941
90.59945	-0.61813426	31798.062	33941
96.15674	0.61813426	31798.062	33941
56.166534	0.61813426	31798.062	33941
42.51222	0.61813426	31798.062	33941
65.37781	0.61813426	31798.062	33941
88.594086	0.61813426	31798.062	33941
84.75564	0.61813426	31798.062	33941
50.572247	0.61813426	31798.062	33941
85.74374	0.61813426	31798.062	33941
116.12556	0.61813426	31798.062	33941
115.13869	-0.61813426	31798.062	33941
68.15248	0.61813426	31798.062	33941
72.94047	-0.61813426	31798.062	33941
74.33136	0.61813426	31798.062	33941
67.82134	0.61813426	31798.062	33941
100.80838	0.61813426	31798.062	33941
68.33819	0.61813426	31798.062	33941
154.24	0.61813426	31798.062	33941
49.238674	0.61813426	31798.062	33941
135.91656	-0.61813426	31798.062	33941
71.15455	0.61813426	31798.062	33941
120.96075	0.61813426	31798.062	33941
52.146015	-0.61813426	31798.062	33941
101.69606	0.61813426	31798.062	33941
80.523346	-0.61813426	31798.062	33941
64.22744	0.61813426	31798.062	33941
72.31643	0.61813426	31798.062	33941
113.22944	0.61813426	31798.062	33941
51.93967	0.61813426	31798.062	33941
64.060104	0.61813426	31798.062	33941
79.357956	0.61813426	31798.062	33941
196.79639	0.61813426	31798.062	33941
70.46258	0.61813426	31798.062	33941
77.23376	0.61813426	31798.062	33941
80.966034	-0.61813426	31798.062	33941
108.5633	-0.61813426	31798.062	33941
153.7138	0.61813426	31798.062	33941
259.77502	-0.61813426	31798.062	33941
80.35828	0.61813426	31798.062	33941
58.349586	0.61813426	31798.062	33941
62.06848	0.61813426	31798.062	33941
49.79845	0.61813426	31798.062	33941
74.01019	-0.61813426	31798.062	33941
43.50364	0.61813426	31798.062	33941
95.6047	-0.61813426	31798.062	33941
153.41548	0.61813426	31798.062	33941
50.069267	0.61813426	31798.062	33941
140.31805	0.61813426	31798.062	33941
73.690765	0.61813426	31798.062	33941
49.17988	0.61813426	31798.062	33941
111.01845	-0.61813426	31798.062	33941
72.90426	0.61813426	31798.062	33941
67.720924	0.61813426	31798.062	33941
120.84849	0.61813426	31798.062	33941
62.105247	0.61813426	31798.062	33941
108.94148	0.61813426	31798.062	33941
38.704502	0.61813426	31798.062	33941
83.60414	0.61813426	31798.062	33941
90.761696	0.61813426	31798.062	33941
72.35556	0.61813426	31798.062	33941
238.33322	0.61813426	31798.062	33941
50.996143	0.61813426	31798.062	33941
92.358116	0.61813426	31798.062	33941
81.812515	0.61813426	31798.062	33941
90.194695	0.61813426	31798.062	33941
65.65236	0.61813426	31798.062	33941
101.312294	0.61813426	31798.062	33941
66.14396	-0.61813426	31798.062	33941
125.860504	0.61813426	31798.062	33941
218.93681	-0.61813426	31798.062	33941
131.00264	0.61813426	31798.062	33941
67.896416	0.61813426	31798.062	33941
73.14601	0.61813426	31798.062	33941
90.49503	-0.61813426	31798.062	33941
92.146774	-0.61813426	31798.062	33941
55.23506	0.61813426	31798.062	33941
120.42371	0.61813426	31798.062	33941
133.68457	0.61813426	31798.062	33941
83.761894	0.61813426	31798.062	33941
83.07777	0.61813426	31798.062	33941
165.28062	-0.61813426	31798.062	33941
69.470024	0.61813426	31798.062	33941
120.98485	0.61813426	31798.062	33941
106.56189	0.61813426	31798.062	33941
140.32616	0.61813426	31798.062	33941
53.49731	0.61813426	31798.062	33941
68.85643	-0.61813426	31798.062	33941
48.173347	0.61813426	31798.062	33941
80.85738	0.61813426	31798.062	33941
128.93233	0.61813426	31798.062	33941
93.87382	0.61813426	31798.062	33941
35.47885	0.61813426	31798.062	33941
100.279655	0.61813426	31798.062	33941
45.30458	0.61813426	31798.062	33941
105.9585	0.61813426	31798.062	33941
62.762054	0.61813426	31798.062	33941
87.72595	0.61813426	31798.062	33941
112.90012	0.61813426	31798.062	33941
60.88952	0.61813426	31798.062	33941
74.056725	0.61813426	31798.062	33941
74.870895	0.61813426	31798.062	33941
