lep_pt	AK8_pt	H_t	AK4_pt	t32	Msd	genWeights	sumWeight	N_exp
195.3721	424.5	191.90625	138.25	0.60385674	157.5	1.0	50000.0	1380
94.21959	432.0	146.125	146.125	0.4550562	185.5	1.0	50000.0	1380
96.20349	391.0	303.42188	152.125	0.40297833	168.0	1.0	50000.0	1380
369.0623	318.75	218.59375	101.5	0.8152434	117.375	1.0	50000.0	1380
119.91732	314.75	197.125	126.5	0.6576716	108.1875	1.0	50000.0	1380
206.35655	446.5	77.0	77.0	0.58497536	167.5	1.0	50000.0	1380
178.91759	469.25	187.9375	97.625	0.46677524	167.625	1.0	50000.0	1380
102.58666	485.25	73.5625	73.5625	0.73103935	116.75	1.0	50000.0	1380
698.783	416.5	198.875	105.5625	0.4158805	204.375	1.0	50000.0	1380
105.03105	589.0	25.9375	25.9375	0.81021595	153.0	1.0	50000.0	1380
114.155945	353.25	47.34375	47.34375	0.8578869	126.8125	1.0	50000.0	1380
179.34158	267.25	111.5625	111.5625	0.8648649	113.125	1.0	50000.0	1380
1055.225	866.0	96.6875	96.6875	0.7233502	272.0	1.0	50000.0	1380
136.12154	424.25	228.3125	118.4375	0.3936111	172.25	1.0	50000.0	1380
176.26689	344.25	67.5625	67.5625	0.7140949	123.0	1.0	50000.0	1380
66.03359	339.75	85.765625	58.75	0.6005222	111.4375	1.0	50000.0	1380
87.526886	601.5	211.5	139.5	0.72051597	171.125	1.0	50000.0	1380
255.55779	404.0	49.96875	49.96875	0.29601	192.75	1.0	50000.0	1380
187.97131	394.75	25.15625	25.15625	0.87192476	155.375	1.0	50000.0	1380
198.30879	820.0	206.5	206.5	0.8472776	122.5	1.0	50000.0	1380
163.59962	301.5	58.5625	58.5625	0.7344435	101.5	1.0	50000.0	1380
75.09398	213.125	40.78125	40.78125	0.7516854	86.0	1.0	50000.0	1380
175.69302	485.0	106.9375	106.9375	0.72425246	178.125	1.0	50000.0	1380
171.09882	347.75	226.21875	175.625	0.49641147	132.625	1.0	50000.0	1380
121.7863	483.5	105.21875	55.15625	0.6149701	137.625	1.0	50000.0	1380
115.069695	445.25	180.4375	121.375	0.7387512	141.375	1.0	50000.0	1380
58.84732	560.0	220.1875	138.625	0.57563025	182.625	1.0	50000.0	1380
93.256966	326.25	152.75	152.75	0.33916235	158.0	1.0	50000.0	1380
51.20625	450.5	286.0	157.25	0.3342483	201.5	1.0	50000.0	1380
146.02808	451.75	116.5625	116.5625	0.90455765	143.625	1.0	50000.0	1380
60.026848	773.0	48.0	48.0	0.4816026	186.75	1.0	50000.0	1380
193.87192	405.25	103.0625	103.0625	0.62435615	140.375	1.0	50000.0	1380
111.48949	402.0	135.375	135.375	0.832618	122.3125	1.0	50000.0	1380
51.090332	550.0	69.5625	69.5625	0.56164384	173.5	1.0	50000.0	1380
131.98882	323.0	73.5625	73.5625	0.7307968	116.5625	1.0	50000.0	1380
155.69867	441.5	195.625	123.5625	0.7173044	149.625	1.0	50000.0	1380
