lep_pt	AK8_pt	genWeights	sumWeight	N_exp
337.04672	376.0	1.0	49000.0	1380
237.04373	768.5	1.0	49000.0	1380
416.83282	492.75	1.0	49000.0	1380
276.34866	809.0	1.0	49000.0	1380
180.04971	866.5	1.0	49000.0	1380
80.93249	864.5	1.0	49000.0	1380
440.17776	873.0	1.0	49000.0	1380
480.89987	684.5	1.0	49000.0	1380
527.94824	1029.0	1.0	49000.0	1380
195.93639	657.5	1.0	49000.0	1380
152.46704	948.5	1.0	49000.0	1380
809.61053	1319.0	1.0	49000.0	1380
516.47845	853.0	1.0	49000.0	1380
113.78944	805.0	1.0	49000.0	1380
499.2468	625.0	1.0	49000.0	1380
160.64421	950.5	1.0	49000.0	1380
383.41986	796.0	1.0	49000.0	1380
215.9889	890.0	1.0	49000.0	1380
747.9116	337.75	1.0	49000.0	1380
70.300545	833.0	1.0	49000.0	1380
374.48474	1219.0	1.0	49000.0	1380
257.3661	685.5	1.0	49000.0	1380
453.27014	764.0	1.0	49000.0	1380
350.95468	262.5	1.0	49000.0	1380
59.912777	439.75	1.0	49000.0	1380
195.8194	568.5	1.0	49000.0	1380
168.66985	356.5	1.0	49000.0	1380
644.297	1607.0	1.0	49000.0	1380
175.172	640.0	1.0	49000.0	1380
551.3319	604.0	1.0	49000.0	1380
112.08389	995.0	1.0	49000.0	1380
105.88881	946.5	1.0	49000.0	1380
125.680336	519.0	1.0	49000.0	1380
485.64264	933.0	1.0	49000.0	1380
196.80481	939.5	1.0	49000.0	1380
383.28235	794.5	1.0	49000.0	1380
439.47256	844.0	1.0	49000.0	1380
162.09717	617.5	1.0	49000.0	1380
219.9723	779.5	1.0	49000.0	1380
196.99231	1016.0	1.0	49000.0	1380
289.99887	395.0	1.0	49000.0	1380
208.33743	635.0	1.0	49000.0	1380
279.9716	670.0	1.0	49000.0	1380
203.97981	1017.5	1.0	49000.0	1380
261.6868	940.0	1.0	49000.0	1380
103.583885	791.5	1.0	49000.0	1380
261.722	399.75	1.0	49000.0	1380
286.41516	679.0	1.0	49000.0	1380
201.0597	647.0	1.0	49000.0	1380
523.6354	1001.0	1.0	49000.0	1380
285.50406	674.5	1.0	49000.0	1380
359.80222	656.0	1.0	49000.0	1380
211.58508	828.5	1.0	49000.0	1380
386.4136	660.5	1.0	49000.0	1380
63.215916	785.0	1.0	49000.0	1380
219.37044	583.5	1.0	49000.0	1380
245.85863	783.5	1.0	49000.0	1380
235.15492	1126.0	1.0	49000.0	1380
276.04117	813.0	1.0	49000.0	1380
436.7465	879.5	1.0	49000.0	1380
186.29697	1247.0	1.0	49000.0	1380
257.91547	555.0	1.0	49000.0	1380
392.2029	569.5	1.0	49000.0	1380
262.68472	1027.0	1.0	49000.0	1380
496.13943	1229.0	1.0	49000.0	1380
818.2467	499.0	1.0	49000.0	1380
75.28797	936.0	1.0	49000.0	1380
110.41359	952.5	1.0	49000.0	1380
152.32518	832.0	1.0	49000.0	1380
332.18738	947.5	1.0	49000.0	1380
372.76025	645.0	1.0	49000.0	1380
459.46512	741.5	1.0	49000.0	1380
666.7801	562.5	1.0	49000.0	1380
220.49574	555.0	1.0	49000.0	1380
321.19812	870.0	1.0	49000.0	1380
347.07416	643.5	1.0	49000.0	1380
548.2021	1101.0	1.0	49000.0	1380
207.75208	842.0	1.0	49000.0	1380
269.6236	688.5	1.0	49000.0	1380
276.2742	976.0	1.0	49000.0	1380
129.94527	311.25	1.0	49000.0	1380
698.6331	634.5	1.0	49000.0	1380
593.6569	657.0	1.0	49000.0	1380
235.16083	790.5	1.0	49000.0	1380
299.9836	571.0	1.0	49000.0	1380
615.67957	1000.0	1.0	49000.0	1380
125.255066	366.0	1.0	49000.0	1380
158.26154	540.0	1.0	49000.0	1380
306.67944	598.5	1.0	49000.0	1380
103.64879	437.25	1.0	49000.0	1380
417.91354	690.0	1.0	49000.0	1380
139.3174	1284.0	1.0	49000.0	1380
146.79836	1048.0	1.0	49000.0	1380
