lep_pt	AK8_pt	genWeights	sumWeight	N_exp
57.16738	237.5	0.61813426	33921.355	33941
140.04922	211.625	0.61813426	33921.355	33941
259.5989	204.25	0.61813426	33921.355	33941
202.41548	592.5	0.61813426	33921.355	33941
87.81983	606.5	-0.61813426	33921.355	33941
78.51716	246.875	-0.61813426	33921.355	33941
175.17978	249.25	-0.61813426	33921.355	33941
137.2795	747.0	-0.61813426	33921.355	33941
241.3743	337.75	0.61813426	33921.355	33941
87.27126	245.25	-0.61813426	33921.355	33941
134.2481	654.5	0.61813426	33921.355	33941
170.36444	249.0	0.61813426	33921.355	33941
103.50888	224.0	0.61813426	33921.355	33941
74.759766	565.0	0.61813426	33921.355	33941
137.13284	541.5	-0.61813426	33921.355	33941
92.78356	206.25	0.61813426	33921.355	33941
102.64972	329.5	-0.61813426	33921.355	33941
56.66059	330.25	0.61813426	33921.355	33941
108.90878	537.5	0.61813426	33921.355	33941
76.78182	594.5	-0.61813426	33921.355	33941
259.91824	355.5	-0.61813426	33921.355	33941
94.37935	228.875	0.61813426	33921.355	33941
112.32728	304.25	-0.61813426	33921.355	33941
61.048435	228.5	-0.61813426	33921.355	33941
215.92473	226.25	0.61813426	33921.355	33941
70.03125	212.375	0.61813426	33921.355	33941
147.7669	233.375	-0.61813426	33921.355	33941
255.8666	642.0	-0.61813426	33921.355	33941
