lep_pt	AK8_pt	genWeights	sumWeight	N_exp
219.89423	333.0	2.8689086	208202.42	29118
54.579872	448.0	-2.8689086	208202.42	29118
36.930977	605.5	-2.8689086	208202.42	29118
132.93874	560.0	2.8689086	208202.42	29118
133.84613	265.0	2.8689086	208202.42	29118
313.5729	457.0	2.8689086	208202.42	29118
65.68497	619.0	2.8689086	208202.42	29118
266.98505	509.25	2.8689086	208202.42	29118
88.70635	354.25	-2.8689086	208202.42	29118
168.74356	273.5	2.8689086	208202.42	29118
92.29393	453.25	-2.8689086	208202.42	29118
186.19525	627.0	-2.8689086	208202.42	29118
499.42636	1014.5	2.8689086	208202.42	29118
159.94014	454.25	-2.8689086	208202.42	29118
98.78721	377.25	2.8689086	208202.42	29118
