lep_pt	AK8_pt	genWeights	sumWeight	N_exp
187.29811	319.75	0.49554962	161032.83	35563
102.5589	300.25	0.49554962	161032.83	35563
79.197784	312.75	0.49554962	161032.83	35563
92.98329	541.5	-0.49554962	161032.83	35563
166.18932	274.25	-0.49554962	161032.83	35563
178.53258	527.5	0.49554962	161032.83	35563
213.18562	237.375	0.49554962	161032.83	35563
233.91492	345.25	0.49554962	161032.83	35563
103.714905	401.25	-0.49554962	161032.83	35563
309.13416	386.75	-0.49554962	161032.83	35563
63.951393	382.75	-0.49554962	161032.83	35563
130.27095	478.5	-0.49554962	161032.83	35563
96.46328	353.75	-0.49554962	161032.83	35563
124.69681	500.75	0.49554962	161032.83	35563
74.56199	565.5	0.49554962	161032.83	35563
642.6655	771.5	0.49554962	161032.83	35563
102.4137	447.75	0.49554962	161032.83	35563
139.29486	455.25	0.49554962	161032.83	35563
232.19888	410.0	0.49554962	161032.83	35563
204.53442	309.0	0.49554962	161032.83	35563
142.02615	408.0	0.49554962	161032.83	35563
154.25145	421.25	0.49554962	161032.83	35563
226.57806	622.5	-0.49554962	161032.83	35563
75.87641	422.5	-0.49554962	161032.83	35563
167.08337	387.25	0.49554962	161032.83	35563
168.86998	489.5	-0.49554962	161032.83	35563
93.69246	367.75	-0.49554962	161032.83	35563
374.1718	387.5	0.49554962	161032.83	35563
70.4894	392.25	0.49554962	161032.83	35563
179.88553	304.5	0.49554962	161032.83	35563
118.3741	582.5	0.49554962	161032.83	35563
170.86357	368.25	0.49554962	161032.83	35563
285.3735	431.0	-0.49554962	161032.83	35563
65.784256	255.75	0.49554962	161032.83	35563
185.66156	367.75	0.49554962	161032.83	35563
130.3681	364.75	0.49554962	161032.83	35563
118.24051	455.5	0.49554962	161032.83	35563
86.70144	327.5	0.49554962	161032.83	35563
336.09106	534.5	-0.49554962	161032.83	35563
225.02777	421.0	0.49554962	161032.83	35563
167.02979	418.25	0.49554962	161032.83	35563
109.573364	216.25	0.49554962	161032.83	35563
231.31421	435.0	-0.49554962	161032.83	35563
184.38896	524.0	0.49554962	161032.83	35563
120.77636	426.25	0.49554962	161032.83	35563
224.12921	298.0	0.49554962	161032.83	35563
95.305275	298.25	0.49554962	161032.83	35563
229.06088	418.0	0.49554962	161032.83	35563
200.9298	313.0	0.49554962	161032.83	35563
460.44308	414.5	0.49554962	161032.83	35563
254.45988	349.0	0.49554962	161032.83	35563
125.035446	434.25	0.49554962	161032.83	35563
184.83232	358.0	0.49554962	161032.83	35563
259.6147	836.0	0.49554962	161032.83	35563
248.82704	611.0	0.49554962	161032.83	35563
174.57924	283.5	0.49554962	161032.83	35563
348.84232	348.0	0.49554962	161032.83	35563
216.24245	328.0	-0.49554962	161032.83	35563
352.8437	470.25	0.49554962	161032.83	35563
186.84674	272.25	0.49554962	161032.83	35563
188.69714	560.0	-0.49554962	161032.83	35563
140.46014	277.75	0.49554962	161032.83	35563
54.01497	486.5	0.49554962	161032.83	35563
